arch,subset,closed,structure,phi,templates,escapee
triad_and,W|S|C,1,triadic,2.000000,conjunctive|free,0
triad_xor,W|S|C,1,triadic,0.500000,free|parity,0
series_AA,W|C|S1,0,,,,0
series_AA,W|C|S2,0,,,,0
series_AA,W|S1|S2,0,,,,0
series_AA,C|S1|S2,0,,,,0
series_AX,W|C|S1,0,,,,0
series_AX,W|C|S2,0,,,,0
series_AX,W|S1|S2,0,,,,0
series_AX,C|S1|S2,0,,,,0
series_XX,W|C|S1,0,,,,0
series_XX,W|C|S2,0,,,,0
series_XX,W|S1|S2,0,,,,0
series_XX,C|S1|S2,0,,,,0
series_chain,W|M1|M2,0,,,,0
series_chain,W|M1|C,0,,,,0
series_chain,W|M2|C,0,,,,0
series_chain,M1|M2|C,0,,,,0
par_AA_s1,W|C|S1,1,triadic,2.000000,conjunctive|free,0
par_AA_s1,W|C|S2,0,,,,0
par_AA_s1,W|S1|S2,0,,,,0
par_AA_s1,C|S1|S2,0,,,,0
par_AX_s1,W|C|S1,1,triadic,2.000000,conjunctive|free,0
par_AX_s1,W|C|S2,0,,,,0
par_AX_s1,W|S1|S2,0,,,,0
par_AX_s1,C|S1|S2,0,,,,0
par_XX_s1,W|C|S1,1,triadic,0.500000,free|parity,0
par_XX_s1,W|C|S2,0,,,,0
par_XX_s1,W|S1|S2,0,,,,0
par_XX_s1,C|S1|S2,0,,,,0
par_AA_and,W|C|S1,0,,,,0
par_AA_and,W|C|S2,0,,,,0
par_AA_and,W|S1|S2,0,,,,0
par_AA_and,C|S1|S2,0,,,,0
par_AA_or,W|C|S1,0,,,,0
par_AA_or,W|C|S2,0,,,,0
par_AA_or,W|S1|S2,0,,,,0
par_AA_or,C|S1|S2,0,,,,0
mom_copy,W|C|M1,0,,,,0
mom_copy,W|C|M0,0,,,,0
mom_copy,W|M1|M0,0,,,,0
mom_copy,C|M1|M0,0,,,,0
mom_gate,A|B|M1,0,,,,0
mom_gate,A|B|M0,0,,,,0
mom_gate,A|M1|M0,0,,,,0
mom_gate,B|M1|M0,0,,,,0
mom_two_mid,A|M1|M2,0,,,,0
mom_two_mid,A|M1|M0,0,,,,0
mom_two_mid,A|M2|M0,0,,,,0
mom_two_mid,M1|M2|M0,0,,,,0
mom_xor,W|C|M1,0,,,,0
mom_xor,W|C|M0,0,,,,0
mom_xor,W|M1|M0,0,,,,0
mom_xor,C|M1|M0,0,,,,0
