game,joins,core,n_core,phi,pay_C1,pay_C2,is_nash,pay_C3
weak_k2,00,W|S|C1|C2,4,3.0,1,1,1,
weak_k2,01,W|S|C1,3,2.0,1,0,0,
weak_k2,10,W|S|C2,3,2.0,0,1,0,
weak_k2,11,C1|C2,2,2.0,1,1,1,
weak_k2_P,00,W|S|C1|C2|P,5,4.0,1,1,1,
weak_k2_P,01,W|S|C1|P,4,3.0,1,0,0,
weak_k2_P,10,W|S|C2|P,4,3.0,0,1,0,
weak_k2_P,11,C1|C2,2,2.0,1,1,1,
strong_k2,00,W|S|C1|C2,4,3.0,1,1,1,
strong_k2,01,S|C1|C2,3,2.0,1,1,1,
strong_k2,10,S|C1|C2,3,2.0,1,1,1,
strong_k2,11,C1|C2,2,2.0,1,1,1,
weak_k3,000,W|S|C1|C2|C3,5,4.0,1,1,1,1
weak_k3,001,W|S|C1|C2,4,3.0,1,1,0,0
weak_k3,010,W|S|C1|C3,4,3.0,1,0,0,1
weak_k3,011,C2|C3,2,2.0,0,1,0,1
weak_k3,100,W|S|C2|C3,4,3.0,0,1,0,1
weak_k3,101,C1|C3,2,2.0,1,0,0,1
weak_k3,110,C1|C2,2,2.0,1,1,0,0
weak_k3,111,C1|C2|C3,3,6.0,1,1,1,1
