slug,family,n,landmark,phi,W_clean,reciprocity,input,affect,W_drop_recip,W_drop_input,W_drop_affect,W_recip_only
hub3,hub,3,HUB,2.000000,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667
hub4,hub,4,HUB,3.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
ring4,ring,4,RING4,4.000000,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667
pool4,pool,4,POOL,12.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
hub5,hub,5,HUB,4.000000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
ring5,ring,5,RING4,4.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
pool5,pool,5,POOL,20.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
hub6,hub,6,HUB,5.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
ring6,ring,6,RING4,4.000000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
pool6,pool,6,POOL,30.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
