family,seed,structure,whole_phi_mip,core,core_phi,n_core,omit,is_derangement,mean_degree,clustering
derangement_k3,0,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|0|3|4|2,True,6.000000,0.900000
derangement_k3,1,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|0|4|2|3,True,6.000000,0.900000
derangement_k3,2,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|2|0|4|3,True,6.000000,0.900000
derangement_k3,3,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|2|3|4|0,True,6.000000,1.000000
derangement_k3,4,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|2|4|0|3,True,6.000000,1.000000
derangement_k3,5,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|3|0|4|2,True,6.000000,1.000000
derangement_k3,6,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|3|4|0|2,True,6.000000,0.900000
derangement_k3,7,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|3|4|2|0,True,6.000000,1.000000
derangement_k3,8,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|4|0|2|3,True,6.000000,1.000000
derangement_k3,9,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|4|3|0|2,True,6.000000,1.000000
derangement_k3,10,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,1|4|3|2|0,True,6.000000,0.900000
derangement_k3,11,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|0|1|4|3,True,6.000000,0.900000
derangement_k3,12,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|0|3|4|1,True,6.000000,1.000000
derangement_k3,13,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|0|4|1|3,True,6.000000,1.000000
derangement_k3,14,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|3|0|4|1,True,6.000000,0.900000
derangement_k3,15,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|3|1|4|0,True,6.000000,1.000000
derangement_k3,16,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|3|4|0|1,True,6.000000,1.000000
derangement_k3,17,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|3|4|1|0,True,6.000000,0.900000
derangement_k3,18,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|4|0|1|3,True,6.000000,0.900000
derangement_k3,19,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|4|1|0|3,True,6.000000,1.000000
derangement_k3,20,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|4|3|0|1,True,6.000000,0.900000
derangement_k3,21,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,2|4|3|1|0,True,6.000000,1.000000
derangement_k3,22,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|0|1|4|2,True,6.000000,1.000000
derangement_k3,23,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|0|4|1|2,True,6.000000,0.900000
derangement_k3,24,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|0|4|2|1,True,6.000000,1.000000
derangement_k3,25,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|2|0|4|1,True,6.000000,1.000000
derangement_k3,26,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|2|1|4|0,True,6.000000,0.900000
derangement_k3,27,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|2|4|0|1,True,6.000000,0.900000
derangement_k3,28,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|2|4|1|0,True,6.000000,1.000000
derangement_k3,29,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|4|0|1|2,True,6.000000,1.000000
derangement_k3,30,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|4|0|2|1,True,6.000000,0.900000
derangement_k3,31,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|4|1|0|2,True,6.000000,0.900000
derangement_k3,32,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,3|4|1|2|0,True,6.000000,1.000000
derangement_k3,33,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,4|0|1|2|3,True,6.000000,1.000000
