n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,idx,struct_fragility,dyn_fragility,syn_fragility,n_parity,n_affine,n_both_dep,mean_balance
5.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,2.0,0,0,0.6875,0.8125,1.0,1,3,2,0.375
7.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,1.0,0,1,0.8125,0.75,1.0,0,1,3,0.375
6.0,4.0,1.0,2.0,0.0,1.0,2.0,10.0,0.0,2.0,1,2,0.875,1.0,1.0,0,2,2,0.25
7.0,4.0,1.0,3.0,0.0,1.0,2.0,9.0,0.0,1.0,1,3,0.8125,0.9375,1.0,0,1,3,0.375
7.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,6.0,0,4,0.4375,0.75,1.0,2,3,3,0.125
5.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0,5,0.875,1.0,1.0,0,2,2,0.5
6.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0,6,0.6875,1.0,1.0,1,3,2,0.125
7.0,4.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,3.0,1,7,0.8125,0.9375,1.0,0,1,3,0.375
7.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,2.0,1,8,0.625,1.0,1.0,1,2,3,0.25
8.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,2.0,1,9,0.375,0.9375,1.0,2,2,4,0.25
8.0,4.0,1.0,4.0,1.0,1.0,1.0,7.0,0.0,1.0,0,10,0.75,0.9375,1.0,0,0,4,0.5
2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0,11,0.9375,0.8125,1.0,0,3,1,0.875
6.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0,12,0.6875,0.9375,1.0,1,3,2,0.125
3.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0,13,0.9375,0.625,1.0,0,3,1,0.625
5.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,14,0.875,0.875,1.0,0,2,2,0.5
6.0,4.0,1.0,1.0,0.0,1.0,1.0,12.0,0.0,3.0,1,15,0.6875,1.0,1.0,1,3,2,0.125
7.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,2.0,1,16,0.625,0.9375,1.0,1,2,3,0.25
8.0,4.0,1.0,3.0,0.0,1.0,1.0,8.0,0.0,3.0,1,17,0.5625,0.9375,1.0,1,1,4,0.375
6.0,2.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,0,18,0.8125,0.8125,1.0,0,1,3,0.625
6.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,2.0,0,19,0.875,0.875,1.0,0,2,2,0.25
6.0,2.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,0,20,0.8125,0.8125,1.0,0,1,3,0.625
7.0,4.0,1.0,1.0,0.0,1.0,0.0,12.0,0.0,8.0,1,21,0.4375,1.0,1.0,2,3,3,0.125
6.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,2.0,0,22,0.6875,0.625,1.0,1,3,2,0.125
7.0,3.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,5.0,0,23,0.8125,0.8125,1.0,0,1,3,0.375
8.0,4.0,1.0,3.0,0.0,1.0,1.0,7.0,0.0,1.0,1,24,0.5625,0.875,1.0,1,1,4,0.375
7.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,3.0,0,25,0.625,0.9375,1.0,1,2,3,0.25
6.0,3.0,0.0,2.0,0.0,1.0,1.0,8.0,0.0,3.0,0,26,0.875,0.75,1.0,0,2,2,0.25
