form,attr_id,cycle,period,basin,verdict,max_phi,states_detail
memoryless,0,000,1,3,dyadic,0.00000000,000:Φ=0.0000:core=(none)
memoryless,1,010|101,2,4,dyadic,0.00000000,"010:Φ=0.0000:core=(none);101:Φ=0.0000:core={S,C}"
memoryless,2,111,1,1,triadic,2.00000000,"111:Φ=2.0000:core={W,S,C}"
sticky,0,000,1,3,dyadic,0.00000000,000:Φ=0.0000:core={S}
sticky,1,111,1,5,dyadic,0.00000000,111:Φ=0.0000:core=(none)
xor_memory,0,000,1,3,dyadic,0.00000000,000:Φ=0.0000:core={S}
xor_memory,1,010|111|101,3,5,triadic,2.00000000,"010:Φ=0.0000:core={S};111:Φ=0.0000:core={S};101:Φ=2.0000:core={W,S,C}"
or_commit,0,000,1,1,triadic,2.00000000,"000:Φ=2.0000:core={W,S,C}"
or_commit,1,010|101,2,4,dyadic,0.00000000,"010:Φ=0.0000:core={S,C};101:Φ=0.0000:core=(none)"
or_commit,2,111,1,3,dyadic,0.00000000,111:Φ=0.0000:core=(none)
sticky_or,0,000,1,1,triadic,2.00000000,"000:Φ=2.0000:core={W,S,C}"
sticky_or,1,111,1,7,dyadic,0.00000000,111:Φ=0.0000:core=(none)
sticky_parity,0,000,1,2,triadic,0.50000000,000:Φ=0.5000:core={S}
sticky_parity,1,111,1,6,dyadic,0.00000000,111:Φ=0.0000:core={S}
parity_hub,0,000,1,8,triadic,0.50000000,"000:Φ=0.5000:core={W,S,C}"
maj3,0,000,1,4,dyadic,0.00000000,000:Φ=0.0000:core=(none)
maj3,1,111,1,4,dyadic,0.00000000,111:Φ=0.0000:core=(none)
w_follows_c,0,000,1,7,dyadic,0.00000000,000:Φ=0.0000:core=(none)
w_follows_c,1,111,1,1,triadic,2.00000000,"111:Φ=2.0000:core={W,S,C}"
