idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
0,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1,5,3,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
2,6,4,1,0.5,0.0,0.5,1,4,0,1,0,0.000000
3,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
4,3,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
5,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
6,5,3,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
7,6,4,1,0.5,0.0,0.5,2,4,0,2,0,0.000000
8,5,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
9,4,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
10,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
11,6,4,1,1.0,0.0,1.0,1,4,0,1,0,0.000000
12,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
13,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
14,3,0,0,0.5,0.0,0.5,1,2,0,1,0,0.000000
15,3,2,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
16,5,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
17,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
18,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
19,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
20,5,3,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
21,4,3,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
22,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
23,6,4,1,0.5,0.0,0.5,1,4,0,1,0,0.000000
24,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
25,3,0,0,0.5,0.0,0.5,1,2,0,1,0,0.000000
26,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
27,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
28,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
29,6,4,1,0.5,0.0,0.5,2,4,0,2,0,0.000000
30,3,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
31,6,4,1,0.0,0.0,0.0,0,4,0,4,1,0.250000
32,2,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
33,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
34,3,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
35,6,4,1,0.5,0.0,0.5,1,4,0,1,1,0.471679
36,5,3,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
37,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
38,5,3,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
39,5,3,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
40,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
41,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
