idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
0,5,2,0,1.0,0.0,1.0,2,6,0,2,0,0.000000
1,7,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
2,6,4,1,2.0,0.0,1.0,2,10,0,2,1,0.415037
3,7,4,1,3.0,0.0,1.0,2,9,0,1,1,0.415037
4,7,3,0,1.0,0.0,1.0,0,8,0,6,0,0.000000
5,5,2,0,2.0,0.0,1.0,1,4,0,1,0,0.000000
6,6,3,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
7,7,4,1,3.0,0.0,1.0,1,9,0,3,1,0.830075
8,7,4,1,2.0,0.0,1.0,1,10,0,2,1,0.830075
9,8,4,1,2.0,0.0,1.0,1,10,0,2,1,0.830075
10,8,4,1,4.0,1.0,1.0,1,7,0,1,0,0.000000
11,2,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
12,6,3,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
13,3,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
14,5,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
15,6,4,1,1.0,0.0,1.0,1,12,0,3,1,2.000000
16,7,4,1,2.0,0.0,1.0,1,10,0,2,1,0.415037
17,8,4,1,3.0,0.0,1.0,1,8,0,3,1,0.830075
18,6,2,0,3.0,0.0,1.0,1,3,0,1,0,0.000000
19,6,3,0,2.0,0.0,1.0,1,6,0,2,0,0.000000
20,6,2,0,3.0,0.0,1.0,1,3,0,1,0,0.000000
21,7,4,1,1.0,0.0,1.0,0,12,0,8,1,3.000000
22,6,3,0,1.0,0.0,1.0,1,6,0,2,0,0.000000
23,7,3,0,3.0,0.0,1.0,0,6,0,5,0,0.000000
24,8,4,1,3.0,0.0,1.0,1,7,0,1,1,0.415037
25,7,4,1,2.0,0.0,1.0,1,10,0,3,0,0.000000
26,6,3,0,2.0,0.0,1.0,1,8,0,3,0,0.000000
27,8,3,0,4.0,1.0,1.0,1,6,0,1,0,0.000000
28,5,3,0,2.0,0.0,1.0,2,6,0,1,0,0.000000
29,8,4,1,3.0,0.0,1.0,2,9,0,2,0,0.000000
30,5,3,0,2.0,0.0,1.0,1,6,0,2,0,0.000000
31,6,4,1,1.0,0.0,1.0,2,8,0,2,1,0.415037
32,6,3,0,2.0,0.0,1.0,1,7,0,1,0,0.000000
33,5,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
34,7,4,1,3.0,0.0,1.0,2,6,0,2,0,0.000000
35,7,4,1,2.0,0.0,1.0,1,10,0,2,1,2.000000
36,7,4,1,3.0,0.0,1.0,2,8,0,2,0,0.000000
37,6,3,0,2.0,0.0,1.0,2,6,0,2,0,0.000000
38,6,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
39,5,3,0,2.0,0.0,1.0,0,6,0,5,0,0.000000
40,7,3,0,0.0,0.0,0.0,2,8,0,3,0,0.000000
41,7,3,0,2.0,0.0,1.0,1,7,0,2,0,0.000000
42,5,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
43,8,4,1,2.0,0.0,1.0,2,10,0,3,1,0.830075
44,6,3,0,3.0,0.0,1.0,0,5,0,3,0,0.000000
45,6,4,1,1.0,0.0,1.0,2,12,0,4,1,1.000000
46,7,4,1,2.0,0.0,1.0,1,9,0,1,0,0.000000
47,8,3,0,3.0,0.0,1.0,0,6,0,3,0,0.000000
48,7,4,1,1.0,0.0,1.0,3,12,0,2,1,2.000000
49,7,4,1,3.0,0.0,1.0,2,10,0,1,1,0.830075
50,7,4,1,1.0,0.0,1.0,0,12,0,4,1,2.000000
51,8,4,1,4.0,1.0,1.0,0,8,0,4,1,0.830075
52,4,1,0,1.0,0.0,1.0,1,3,0,1,0,0.000000
53,8,3,0,3.0,0.0,1.0,1,7,0,2,0,0.000000
54,7,4,1,2.0,0.0,1.0,0,12,0,7,1,0.415037
55,6,3,0,1.0,0.0,1.0,0,6,0,4,0,0.000000
56,6,2,0,3.0,0.0,1.0,2,5,0,2,0,0.000000
57,3,1,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
58,8,4,1,3.0,0.0,1.0,2,8,0,3,1,0.830075
59,5,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
60,6,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
61,1,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
62,7,4,1,2.0,0.0,1.0,1,12,0,4,1,0.830075
63,8,4,1,3.0,0.0,1.0,0,10,0,6,1,0.415037
64,5,4,1,1.0,0.0,1.0,1,12,0,4,1,2.000000
65,8,4,1,3.0,0.0,1.0,0,9,0,5,1,0.415037
66,7,4,1,3.0,0.0,1.0,1,9,0,4,1,0.830075
67,5,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
68,4,3,0,1.0,0.0,1.0,1,8,0,1,0,0.000000
69,4,2,0,0.0,0.0,0.0,1,8,0,1,0,0.000000
70,8,4,1,3.0,0.0,1.0,2,10,0,1,1,1.000000
71,7,4,1,3.0,0.0,1.0,1,8,0,2,1,0.830075
72,7,3,0,2.0,0.0,1.0,1,7,0,1,0,0.000000
73,7,4,1,2.0,0.0,1.0,2,10,0,1,1,1.000000
74,7,4,1,3.0,0.0,1.0,2,10,0,2,0,0.000000
75,3,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
76,5,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
77,6,2,0,3.0,0.0,1.0,1,5,0,1,0,0.000000
78,5,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
79,5,2,0,2.0,0.0,1.0,0,5,0,4,0,0.000000
80,5,3,0,1.0,0.0,1.0,1,8,0,2,0,0.000000
81,7,3,0,2.0,0.0,1.0,0,6,0,5,0,0.000000
82,5,2,0,1.0,0.0,1.0,2,6,0,2,0,0.000000
83,6,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
84,7,4,1,2.0,0.0,1.0,2,10,0,3,1,0.830075
85,8,3,0,2.0,0.0,1.0,1,7,0,3,0,0.000000
86,6,3,0,3.0,0.0,1.0,1,7,0,1,0,0.000000
87,6,2,0,2.0,0.0,1.0,2,5,0,2,0,0.000000
88,7,4,1,3.0,0.0,1.0,1,9,0,4,1,0.830075
89,8,4,1,4.0,1.0,1.0,0,7,0,4,0,0.000000
90,7,4,1,3.0,0.0,1.0,2,9,0,1,1,0.830075
91,4,3,0,1.0,0.0,1.0,0,8,0,4,0,0.000000
92,4,2,0,0.0,0.0,0.0,1,8,0,1,0,0.000000
93,7,4,1,3.0,0.0,1.0,1,8,0,1,0,0.000000
94,6,4,1,2.0,0.0,1.0,2,8,0,2,1,2.000000
95,5,4,1,1.0,0.0,1.0,1,12,0,4,1,0.415037
96,5,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
97,5,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
98,7,3,0,2.0,0.0,1.0,1,6,0,2,0,0.000000
99,6,3,0,2.0,0.0,1.0,0,6,0,5,0,0.000000
100,5,3,0,1.0,0.0,1.0,1,8,0,1,0,0.000000
101,7,4,1,2.0,0.0,1.0,1,10,0,1,1,0.415037
102,5,3,0,2.0,0.0,1.0,1,8,0,1,0,0.000000
103,8,4,1,4.0,1.0,1.0,1,8,0,6,1,0.830075
