family,name,omit,cycles,recip,t_targets,z_targets,structure,whole_phi_mip,core,core_phi,n_core
grain,"cyc(2,)_r1_zt(1, 1)_0",2|0|0|0|1|3,"(2,)",1,"(1,)","(1, 1)",triadic,2.000000,N2|N4|N5,6.000000,3
grain,"cyc(2,)_r1_zt(1, 1)_1",3|0|4|0|0|1,"(2,)",1,"(1,)","(1, 1)",triadic,2.000000,N3|N4|N5,6.000000,3
grain,"cyc(2,)_r1_zt(1, 1)_2",5|5|5|0|2|1,"(2,)",1,"(1,)","(1, 1)",triadic,2.000000,N3|N4|N5,6.000000,3
grain,"cyc(2,)_r1_zt(1, 3)_0",5|5|4|5|0|1,"(2,)",1,"(1,)","(1, 3)",triadic,2.000000,N0|N1|N2|N3,12.000000,4
grain,"cyc(2,)_r1_zt(1, 3)_1",5|2|4|2|2|1,"(2,)",1,"(1,)","(1, 3)",triadic,2.000000,N0|N1|N3|N4,12.000000,4
grain,"cyc(2,)_r1_zt(1, 3)_2",2|2|0|1|2|3,"(2,)",1,"(1,)","(1, 3)",triadic,2.000000,N0|N1|N4|N5,12.000000,4
grain,"cyc(3,)_r0_zt(1, 3)_0",3|3|0|5|3|4,"(3,)",0,"(1,)","(1, 3)",triadic,2.000000,N1|N2|N5,6.000000,3
grain,"cyc(3,)_r0_zt(1, 3)_1",5|2|0|0|0|4,"(3,)",0,"(1,)","(1, 3)",triadic,2.000000,N2|N3|N5,6.000000,3
grain,"cyc(3,)_r0_zt(1, 3)_2",1|5|5|5|2|4,"(3,)",0,"(1,)","(1, 3)",triadic,2.000000,N1|N3|N4,6.000000,3
grain,"cyc(2, 2)_r2_zt(3, 3)_0",2|3|0|5|3|3,"(2, 2)",2,"(1,)","(3, 3)",triadic,2.000000,N1|N2|N4|N5,12.000000,4
grain,"cyc(2, 2)_r2_zt(3, 3)_1",4|5|4|4|0|1,"(2, 2)",2,"(1,)","(3, 3)",triadic,2.000000,N0|N2|N3|N5,12.000000,4
grain,"cyc(4,)_r0_zt(3, 3)_0",3|0|3|4|1|3,"(4,)",0,"(1,)","(3, 3)",triadic,2.000000,N0|N2|N4|N5,12.000000,4
grain,"cyc(4,)_r0_zt(3, 3)_1",2|2|4|2|5|0,"(4,)",0,"(1,)","(3, 3)",triadic,2.000000,N0|N1|N3|N4,12.000000,4
