family,name,omit,cycles,recip,t_targets,z_targets,structure,whole_phi_mip,core,core_phi,n_core,mean_degree,clustering
grain,"cyc(2, 2)_r2_tt(1, 1)_ztNone_0",1|5|3|2|3|1,"(2, 2)",2,"(1, 1)",,triadic,4.000000,N0|N2|N4|N5,12.000000,4,8.000000,0.822222
grain,"cyc(2, 2)_r2_tt(1, 1)_ztNone_1",5|4|0|4|3|0,"(2, 2)",2,"(1, 1)",,triadic,4.000000,N1|N2|N3|N5,12.000000,4,8.000000,0.822222
grain,"cyc(2, 2)_r2_tt(1, 1)_ztNone_2",1|0|5|2|0|2,"(2, 2)",2,"(1, 1)",,triadic,4.000000,N1|N3|N4|N5,12.000000,4,8.000000,0.822222
grain,"cyc(2, 2)_r2_tt(2, 2)_ztNone_0",4|5|4|2|2|1,"(2, 2)",2,"(2, 2)",,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,0.822222
grain,"cyc(2, 2)_r2_tt(2, 2)_ztNone_1",2|5|4|4|2|1,"(2, 2)",2,"(2, 2)",,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,0.822222
grain,"cyc(4,)_r0_tt(1, 1)_ztNone_0",3|3|4|2|0|4,"(4,)",0,"(1, 1)",,triadic,4.000000,N0|N1|N2|N5,12.000000,4,8.000000,1.000000
grain,"cyc(4,)_r0_tt(1, 1)_ztNone_1",2|4|5|2|0|4,"(4,)",0,"(1, 1)",,triadic,4.000000,N0|N1|N3|N5,12.000000,4,8.000000,1.000000
grain,"cyc(4,)_r0_tt(1, 1)_ztNone_2",2|0|4|4|1|0,"(4,)",0,"(1, 1)",,triadic,4.000000,N1|N2|N3|N5,12.000000,4,8.000000,1.000000
grain,"cyc(4,)_r0_tt(1, 2)_ztNone_0",2|0|3|5|2|0,"(4,)",0,"(1, 2)",,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
grain,"cyc(4,)_r0_tt(1, 2)_ztNone_1",3|5|1|1|3|0,"(4,)",0,"(1, 2)",,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
grain,"cyc(2,)_r1_tt(1, 1)_ztNone_0",3|3|4|0|1|4,"(2,)",1,"(1, 1)",,triadic,4.000000,N0|N1|N2|N5,12.000000,4,8.000000,0.933333
grain,"cyc(2,)_r1_tt(1, 1)_ztNone_1",4|5|5|4|0|3,"(2,)",1,"(1, 1)",,triadic,4.000000,N0|N1|N2|N3,12.000000,4,8.000000,0.933333
grain,"cyc(2,)_r1_tt(1, 1)_ztNone_2",5|2|1|2|5|3,"(2,)",1,"(1, 1)",,triadic,4.000000,N0|N1|N3|N4,12.000000,4,8.000000,0.933333
grain,"cyc(2,)_r1_tt(2, 2)_ztNone_0",3|5|1|2|5|1,"(2,)",1,"(2, 2)",,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,0.933333
grain,"cyc(3,)_r0_tt(1, 2)_zt(2, 2)_0",3|4|3|5|5|1,"(3,)",0,"(1, 2)","(2, 2)",triadic,6.000000,N0|N1|N2|N4|N5,8.000000,5,8.000000,1.000000
grain,"cyc(3,)_r0_tt(1, 2)_zt(2, 2)_1",4|0|0|2|1|2,"(3,)",0,"(1, 2)","(2, 2)",triadic,6.000000,N0|N1|N3|N4|N5,8.000000,5,8.000000,1.000000
grain,"cyc(3,)_r0_tt(1, 2)_zt(2, 2)_2",2|2|4|1|0|1,"(3,)",0,"(1, 2)","(2, 2)",triadic,6.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,1.000000
grain,"cyc(3,)_r0_tt(1, 2)_zt(1, 2)_0",2|3|4|0|0|4,"(3,)",0,"(1, 2)","(1, 2)",triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
grain,"cyc(3,)_r0_tt(1, 2)_zt(1, 2)_1",4|5|1|2|1|4,"(3,)",0,"(1, 2)","(1, 2)",triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
grain,"cyc(3,)_r0_tt(1, 2)_zt(1, 2)_2",4|2|3|1|1|2,"(3,)",0,"(1, 2)","(1, 2)",triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
