family,name,omit,cycles,recip,structure,whole_phi_mip,core,core_phi,n_core,mean_degree,clustering
indeg_002122,"cyc(2,)_r1_0_designed",1|0|0|1|2|3,"(2,)",1,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,0.933333
indeg_002122,"cyc(2,)_r1_1_sample",5|4|4|2|5|0,"(2,)",1,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,0.933333
indeg_002122,"cyc(2,)_r1_2_sample",4|4|5|0|5|2,"(2,)",1,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,0.933333
indeg_002122,"cyc(2, 2)_r2_0_designed",1|0|0|1|5|4,"(2, 2)",2,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,0.822222
indeg_002122,"cyc(2, 2)_r2_1_sample",2|5|0|4|5|4,"(2, 2)",2,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,0.822222
indeg_002122,"cyc(2, 2)_r2_2_sample",2|3|0|1|1|2,"(2, 2)",2,triadic,4.000000,N0|N3|N4|N5,12.000000,4,8.000000,0.822222
indeg_002122,"cyc(3,)_r0_0_designed",1|2|0|0|1|3,"(3,)",0,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
indeg_002122,"cyc(3,)_r0_1_sample",5|2|4|2|3|3,"(3,)",0,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
indeg_002122,"cyc(3,)_r0_2_sample",1|4|0|2|0|1,"(3,)",0,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
indeg_002122,"cyc(4,)_r0_0_designed",1|2|3|0|0|1,"(4,)",0,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
indeg_002122,"cyc(4,)_r0_1_sample",3|4|3|1|2|1,"(4,)",0,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,8.000000,1.000000
indeg_002122,"cyc(4,)_r0_2_sample",3|0|4|4|5|0,"(4,)",0,triadic,4.000000,N1|N2|N3|N5,12.000000,4,8.000000,1.000000
