name,family,n,param,structure,whole_phi_mip,core,core_phi,n_core,full_core,interior,seconds
ring4,ring,4,0,triadic,4.000000,N0|N1|N2|N3,4.000000,4,True,False,0.64
pool4,pool,4,4,triadic,12.000000,N0|N1|N2|N3,12.000000,4,True,False,0.68
ring5,ring,5,0,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,False,6.19
pool5,pool,5,5,triadic,20.000000,N0|N1|N2|N3|N4,20.000000,5,True,False,5.26
ring6,ring,6,0,triadic,4.000000,N0|N1|N2|N3|N4|N5,4.000000,6,True,False,49.94
pool6,pool,6,6,triadic,30.000000,N0|N1|N2|N3|N4|N5,30.000000,6,True,False,45.25
mh2_n4,multihub_m2,4,2,triadic,4.000000,N0|N1|N3,6.000000,3,False,False,0.68
mh2_n5,multihub_m2,5,2,triadic,6.000000,N0|N1|N2|N3|N4,6.000000,5,True,True,5.06
mh2_n6,multihub_m2,6,2,triadic,8.000000,N0|N1|N2|N3|N4|N5,8.000000,6,True,True,43.16
mh3_n5,multihub_m3,5,3,triadic,6.000000,N0|N1|N2|N4,12.000000,4,False,False,5.19
mh3_n6,multihub_m3,6,3,triadic,9.000000,N0|N1|N2|N5,12.000000,4,False,False,44.27
chord_n5_c0,chordal,5,0,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,False,6.27
chord_n5_c1,chordal,5,1,triadic,4.000000,N0|N1|N2,6.000000,3,False,False,5.68
chord_n5_c2,chordal,5,2,triadic,6.000000,N0|N1|N2|N3|N4,6.000000,5,True,True,5.27
chord_n6_c2,chordal,6,2,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,True,True,44.81
chord_n6_c3,chordal,6,3,triadic,9.000000,N0|N1|N2|N3|N4|N5,9.000000,6,True,True,43.59
kreg_n5_d1,kregular,5,1,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,False,6.2
kreg_n5_d2,kregular,5,2,triadic,20.000000,N0|N1|N2|N3|N4,20.000000,5,True,False,5.22
kreg_n6_d2,kregular,6,2,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,True,True,43.9
strip_n4,lattice_strip,4,2,triadic,4.000000,N0|N1|N2|N3,4.000000,4,True,False,0.64
strip_n6,lattice_strip,6,3,triadic,6.000000,N0|N1|N2|N3|N4|N5,6.000000,6,True,True,49.61
ppool_n5_m2,partial_pool,5,2,dyadic,0.000000,N0|N1,2.000000,2,False,False,0.23
ppool_n5_m3,partial_pool,5,3,dyadic,0.000000,N0|N1|N2,6.000000,3,False,False,0.35
ppool_n5_m4,partial_pool,5,4,dyadic,0.000000,N0|N1|N2|N3,12.000000,4,False,False,0.41
ppool_n5_m5,partial_pool,5,5,triadic,20.000000,N0|N1|N2|N3|N4,20.000000,5,True,False,5.24
