mask,mask_int,stratum,wt,all_dep,monotone,affine,extremal_wt,pred,obs,match,structure,whole_phi,core,core_phi,n_core,elapsed_s
0001,1,A_pred,1,1,1,0,1,A,A,1,triadic,4.000000,W1|S|W2|W3|C,4.000000,5,4.96
7fff,32767,A_pred,15,1,1,0,1,A,A,1,triadic,4.000000,W1|S|W2|W3|C,4.000000,5,4.72
8000,32768,A_pred,1,1,1,0,1,A,A,1,triadic,4.000000,W1|S|W2|W3|C,4.000000,5,4.68
fffe,65534,A_pred,15,1,1,0,1,A,A,1,triadic,4.000000,W1|S|W2|W3|C,4.000000,5,4.96
6996,27030,B_pred,8,1,0,1,0,B,B,1,triadic,0.125000,W1|S|W2|W3|C,0.125000,5,11.4
9669,38505,B_pred,8,1,0,1,0,B,B,1,triadic,0.125000,W1|S|W2|W3|C,0.125000,5,11.42
0000,0,monotone,0,0,1,1,0,C,C,1,dyadic,0.000000,,nan,0,0.02
0003,3,monotone,2,0,1,0,0,C,C,1,dyadic,0.000000,W1|S|W2|W3,3.000000,4,0.35
0005,5,monotone,2,0,1,0,0,C,C,1,dyadic,0.000000,W1|S|W2|C,3.000000,4,0.36
0007,7,monotone,3,1,1,0,0,C,C,1,dyadic,0.000000,W1|S|W2,2.000000,3,0.99
000f,15,monotone,4,0,1,0,0,C,C,1,dyadic,0.000000,W1|S|W2,2.000000,3,0.1
0011,17,monotone,2,0,1,0,0,C,C,1,dyadic,0.000000,W1|S|W3|C,3.000000,4,0.36
0013,19,monotone,3,1,1,0,0,C,C,1,dyadic,0.000000,W1|S|W3,2.000000,3,0.76
0015,21,monotone,3,1,1,0,0,C,C,1,dyadic,0.000000,W1|S|C,2.000000,3,0.8
0017,23,monotone,4,1,1,0,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.72
001f,31,monotone,5,1,1,0,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.64
0033,51,monotone,4,0,1,0,0,C,C,1,dyadic,0.000000,W1|S|W3,2.000000,3,0.09
0037,55,monotone,5,1,1,0,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.7
003f,63,monotone,6,0,1,0,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.18
0055,85,monotone,4,0,1,0,0,C,C,1,dyadic,0.000000,W1|S|C,2.000000,3,0.09
0057,87,monotone,5,1,1,0,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.7
005f,95,monotone,6,0,1,0,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.18
0077,119,monotone,6,0,1,0,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.18
007f,127,monotone,7,1,1,0,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.59
00ff,255,monotone,8,0,1,1,0,C,C,1,dyadic,0.000000,W1|S,2.000000,2,0.05
0101,257,monotone,2,0,1,0,0,C,C,1,dyadic,0.000000,S|W2|W3|C,3.000000,4,0.36
0103,259,monotone,3,1,1,0,0,C,C,1,dyadic,0.000000,S|W2|W3,2.000000,3,0.55
0105,261,monotone,3,1,1,0,0,C,C,1,dyadic,0.000000,S|W2|C,2.000000,3,0.59
0107,263,monotone,4,1,1,0,0,C,C,1,dyadic,0.000000,S|W2,2.000000,2,0.55
010f,271,monotone,5,1,1,0,0,C,C,1,dyadic,0.000000,S|W2,2.000000,2,0.52
0111,273,monotone,3,1,1,0,0,C,C,1,dyadic,0.000000,S|W3|C,2.000000,3,0.56
0113,275,monotone,4,1,1,0,0,C,C,1,dyadic,0.000000,S|W3,2.000000,2,0.54
0115,277,monotone,4,1,1,0,0,C,C,1,dyadic,0.000000,S|C,2.000000,2,0.55
