name,panel,family,source,n,structure,triadic,phi_full,phi_alt,phi_phase,phi_MA,phi_MB,role_A,role_M,role_B
chain_and_n3,multifamily,chain,synthetic,3,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,1,0,2
chain_ff_n3,multifamily,chain,synthetic,3,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2
pool_and_n3,multifamily,pool,synthetic,3,triadic,1,6.000000,0.000000,6.000000,0.000000,0.000000,1,0,2
pool_or_n3,multifamily,pool,synthetic,3,triadic,1,6.000000,2.000000,6.000000,2.000000,2.000000,1,0,2
and_hub_n3,multifamily,hub,synthetic,3,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,1,0,2
broken_hub_n3,multifamily,hub,synthetic,3,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2
or_hub_n3,multifamily,or_hub,synthetic,3,triadic,1,2.000000,2.000000,2.000000,2.000000,2.000000,1,0,2
parity_hub_n3,multifamily,parity,synthetic,3,triadic,1,0.500000,2.000000,0.500000,2.000000,2.000000,1,0,2
broadcast_n3,multifamily,broadcast,synthetic,3,dyadic,0,0.000000,1.000000,0.000000,2.000000,0.000000,1,0,2
maj_n3,multifamily,majority,synthetic,3,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,1,0,2
thresh1_n3,multifamily,majority,synthetic,3,triadic,1,2.000000,2.000000,2.000000,2.000000,2.000000,1,0,2
chain_and_n4,multifamily,chain,synthetic,4,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,1,0,3
chain_ff_n4,multifamily,chain,synthetic,4,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3
pool_and_n4,multifamily,pool,synthetic,4,triadic,1,12.000000,0.000000,12.000000,0.000000,0.000000,1,0,3
pool_or_n4,multifamily,pool,synthetic,4,triadic,1,12.000000,2.000000,12.000000,2.000000,2.000000,1,0,3
and_hub_n4,multifamily,hub,synthetic,4,triadic,1,3.000000,0.000000,3.000000,0.000000,0.000000,1,0,3
broken_hub_n4,multifamily,hub,synthetic,4,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3
or_hub_n4,multifamily,or_hub,synthetic,4,triadic,1,3.000000,2.000000,3.000000,2.000000,2.000000,1,0,3
parity_hub_n4,multifamily,parity,synthetic,4,triadic,1,0.250000,2.000000,0.250000,2.000000,2.000000,1,0,3
broadcast_n4,multifamily,broadcast,synthetic,4,dyadic,0,0.000000,1.000000,0.000000,2.000000,0.000000,1,0,3
maj_n4,multifamily,majority,synthetic,4,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3
thresh1_n4,multifamily,majority,synthetic,4,triadic,1,3.000000,2.000000,3.000000,2.000000,2.000000,1,0,3
ring_n4,multifamily,ring,synthetic,4,triadic,1,4.000000,0.000000,4.000000,0.000000,0.000000,1,0,3
two_hub_n4,multifamily,two_hub,synthetic,4,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,1,0,3
pyphi_v9_triad,logged,mediation,institutional,3,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,0,1,2
sklearn_v10_fourrole,logged,v10,institutional,4,triadic,1,1.000000,0.000000,1.000000,0.000000,0.000000,0,2,3
k8s_v11_prow,logged,v11,institutional,4,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,3,0,2
act_core_n3,logged,activity3,activity_fit,3,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2
act_recent_n4,logged,activity4,activity_fit,4,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3
counts_identity_n3,logged,role_identity,role_count/pyphi_v9_roles,3,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2
counts_cycle_copy_n3,logged,role_cycle_copy,role_count/pyphi_v9_roles,3,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,1,0,2
counts_k_of_n_1_n3,logged,role_k_of_n_1,role_count/pyphi_v9_roles,3,triadic,1,6.000000,2.000000,6.000000,2.000000,2.000000,1,0,2
counts_k_of_n_nm1_n3,logged,role_k_of_n_nm1,role_count/pyphi_v9_roles,3,triadic,1,6.000000,0.000000,6.000000,0.000000,0.000000,1,0,2
counts_hub_n3,logged,hub,role_count/pyphi_v9_roles,3,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,1,0,2
counts_identity_n4,logged,role_identity,role_count/sklearn_k8s_roles,4,dyadic,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3
counts_cycle_copy_n4,logged,role_cycle_copy,role_count/sklearn_k8s_roles,4,triadic,1,2.000000,0.000000,2.000000,0.000000,0.000000,1,0,3
counts_k_of_n_1_n4,logged,role_k_of_n_1,role_count/sklearn_k8s_roles,4,triadic,1,12.000000,2.000000,12.000000,2.000000,2.000000,1,0,3
counts_k_of_n_nm1_n4,logged,role_k_of_n_nm1,role_count/sklearn_k8s_roles,4,triadic,1,12.000000,0.000000,12.000000,0.000000,0.000000,1,0,3
counts_hub_n4,logged,hub,role_count/sklearn_k8s_roles,4,triadic,1,3.000000,0.000000,3.000000,0.000000,0.000000,1,0,3
