gate,budget,n_exact,miss_rate,fn_among_tri,fp_among_dya,n_miss,fn,fp
margin,0.00,0,0.090000,0.247059,0.057831,45,21,24
margin,0.05,25,0.070000,0.200000,0.043373,35,17,18
margin,0.10,50,0.046000,0.105882,0.033735,23,9,14
margin,0.15,75,0.028000,0.047059,0.024096,14,4,10
margin,0.20,100,0.012000,0.011765,0.012048,6,1,5
margin,0.25,125,0.002000,0.000000,0.002410,1,0,1
margin,0.30,150,0.000000,0.000000,0.000000,0,0,0
margin,0.40,200,0.000000,0.000000,0.000000,0,0,0
margin,0.50,250,0.000000,0.000000,0.000000,0,0,0
margin,1.00,500,0.000000,0.000000,0.000000,0,0,0
fragility,0.00,0,0.090000,0.247059,0.057831,45,21,24
fragility,0.05,25,0.090000,0.247059,0.057831,45,21,24
fragility,0.10,50,0.086000,0.247059,0.053012,43,21,22
fragility,0.15,75,0.086000,0.247059,0.053012,43,21,22
fragility,0.20,100,0.086000,0.247059,0.053012,43,21,22
fragility,0.25,125,0.082000,0.247059,0.048193,41,21,20
fragility,0.30,150,0.076000,0.235294,0.043373,38,20,18
fragility,0.40,200,0.068000,0.200000,0.040964,34,17,17
fragility,0.50,250,0.048000,0.129412,0.031325,24,11,13
fragility,1.00,500,0.000000,0.000000,0.000000,0,0,0
combined,0.00,0,0.090000,0.247059,0.057831,45,21,24
combined,0.05,25,0.070000,0.200000,0.043373,35,17,18
combined,0.10,50,0.062000,0.164706,0.040964,31,14,17
combined,0.15,75,0.048000,0.129412,0.031325,24,11,13
combined,0.20,100,0.046000,0.129412,0.028916,23,11,12
combined,0.25,125,0.040000,0.094118,0.028916,20,8,12
combined,0.30,150,0.036000,0.094118,0.024096,18,8,10
combined,0.40,200,0.022000,0.047059,0.016867,11,4,7
combined,0.50,250,0.008000,0.011765,0.007229,4,1,3
combined,1.00,500,0.000000,0.000000,0.000000,0,0,0
random_mean,0.00,0,0.090000,0.247059,,,,
random_mean,0.05,25,0.085300,0.235294,,,,
random_mean,0.10,50,0.081100,0.219412,,,,
random_mean,0.15,75,0.075800,0.201176,,,,
random_mean,0.20,100,0.071600,0.197647,,,,
random_mean,0.25,125,0.067500,0.183529,,,,
random_mean,0.30,150,0.061000,0.168235,,,,
random_mean,0.40,200,0.053900,0.145882,,,,
random_mean,0.50,250,0.046100,0.127647,,,,
random_mean,1.00,500,0.000000,0.000000,,,,
