arch,task,seed,difficulty,final_reward,success,designed,designed_triadic,designed_phi,emergent,emergent_triadic,emergent_phi,emergent_core,open_loop
mlp,AND,0,239,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,AND,1,226,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,AND,2,161,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,AND,3,187,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,AND,4,195,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,AND,5,221,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,AND,6,196,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,AND,7,224,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,OR,0,44,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,OR,1,35,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,OR,2,111,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,OR,3,34,1.0,1,triadic,1,2.0,dyadic,0,1.0,C,0
mlp,OR,4,14,1.0,1,triadic,1,2.0,dyadic,0,0.2766916661858958,C,0
mlp,OR,5,51,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,OR,6,34,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,OR,7,87,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NAND,0,49,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NAND,1,94,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NAND,2,43,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NAND,3,95,1.0,1,triadic,1,2.0,dyadic,0,0.0,,0
mlp,NAND,4,62,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NAND,5,51,1.0,1,triadic,1,2.0,dyadic,0,0.0,,0
mlp,NAND,6,29,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NAND,7,9,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NOR,0,195,0.88,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NOR,1,245,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NOR,2,204,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NOR,3,192,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NOR,4,162,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NOR,5,161,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NOR,6,134,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,NOR,7,205,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
mlp,XOR,0,117,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XOR,1,152,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XOR,2,122,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XOR,3,222,0.94,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XOR,4,159,0.9,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XOR,5,232,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XOR,6,189,0.98,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XOR,7,224,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XNOR,0,132,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XNOR,1,222,0.92,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XNOR,2,236,1.0,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XNOR,3,168,0.98,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XNOR,4,101,0.92,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XNOR,5,139,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XNOR,6,151,0.98,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,XNOR,7,237,0.94,1,triadic,1,0.5,dyadic,0,0.0,,1
mlp,W_only,0,151,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_only,1,76,0.94,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_only,2,60,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_only,3,123,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_only,4,151,0.92,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_only,5,145,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_only,6,69,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_only,7,138,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,C_only,0,169,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,C_only,1,120,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,C_only,2,113,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,C_only,3,73,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,C_only,4,187,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,C_only,5,143,0.94,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,C_only,6,106,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,0
mlp,C_only,7,163,0.9,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,implies,0,67,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,implies,1,16,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,implies,2,23,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,implies,3,79,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,implies,4,9,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,implies,5,31,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,implies,6,33,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,implies,7,41,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,0
mlp,W_and_notC,0,211,0.92,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_and_notC,1,205,0.92,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_and_notC,2,219,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_and_notC,3,223,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_and_notC,4,156,0.94,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_and_notC,5,224,0.9,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_and_notC,6,197,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,W_and_notC,7,243,0.94,1,dyadic,0,2.0,dyadic,0,0.0,,1
mlp,const0,0,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,W,0
mlp,const0,1,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,C,0
mlp,const0,2,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,C,0
mlp,const0,3,500,0.0,0,dyadic,0,0.0,dyadic,0,0.08444616302502782,C,0
mlp,const0,4,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,C,0
mlp,const0,5,500,0.0,0,dyadic,0,0.0,dyadic,0,0.0,,0
mlp,const0,6,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,C,0
mlp,const0,7,500,0.0,0,dyadic,0,0.0,dyadic,0,0.15782064350027647,W,0
linear,AND,0,215,0.9,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,AND,1,238,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,AND,2,194,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,AND,3,224,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,AND,4,200,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,AND,5,220,0.9,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,AND,6,211,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,AND,7,193,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,OR,0,22,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,OR,1,71,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,OR,2,58,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,OR,3,37,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,OR,4,50,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,OR,5,15,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,OR,6,18,1.0,1,triadic,1,2.0,dyadic,0,0.0,,0
linear,OR,7,17,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NAND,0,14,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NAND,1,73,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NAND,2,35,1.0,1,triadic,1,2.0,dyadic,0,0.0,,0
linear,NAND,3,25,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NAND,4,24,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NAND,5,33,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NAND,6,17,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NAND,7,46,0.96,1,triadic,1,2.0,dyadic,0,0.0,,0
linear,NOR,0,188,1.0,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NOR,1,240,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NOR,2,195,0.96,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NOR,3,210,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NOR,4,178,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NOR,5,119,0.94,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,NOR,6,500,0.5,0,triadic,1,2.0,dyadic,0,2.0,S|C,0
linear,NOR,7,201,0.98,1,triadic,1,2.0,dyadic,0,0.0,,1
linear,XOR,0,100,0.94,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XOR,1,142,0.92,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XOR,2,144,0.98,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XOR,3,187,0.92,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XOR,4,500,0.64,0,triadic,1,0.5,triadic,1,1.0,W,0
linear,XOR,5,94,0.98,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XOR,6,215,1.0,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XOR,7,198,0.98,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XNOR,0,167,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XNOR,1,106,0.9,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XNOR,2,230,0.94,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XNOR,3,187,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XNOR,4,197,0.98,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XNOR,5,151,0.96,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XNOR,6,197,0.92,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,XNOR,7,188,0.98,1,triadic,1,0.5,dyadic,0,0.0,,1
linear,W_only,0,178,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_only,1,212,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_only,2,114,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_only,3,104,0.94,1,dyadic,0,2.0,dyadic,0,1.0,C,0
linear,W_only,4,118,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_only,5,112,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_only,6,145,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_only,7,161,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,C_only,0,86,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,C_only,1,191,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,C_only,2,152,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,C_only,3,121,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,C_only,4,188,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,C_only,5,122,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,C_only,6,17,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,C_only,7,135,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,implies,0,20,0.98,1,dyadic,0,2.0,dyadic,0,0.2766916661858958,W,0
linear,implies,1,115,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,implies,2,27,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,0
linear,implies,3,78,0.94,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,implies,4,68,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,0
linear,implies,5,55,0.98,1,dyadic,0,2.0,dyadic,0,1.0,W,0
linear,implies,6,31,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,implies,7,31,1.0,1,dyadic,0,2.0,dyadic,0,0.2766916661858958,C,0
linear,W_and_notC,0,183,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_and_notC,1,176,0.88,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_and_notC,2,180,0.98,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_and_notC,3,187,0.9,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_and_notC,4,235,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_and_notC,5,175,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_and_notC,6,192,1.0,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,W_and_notC,7,134,0.96,1,dyadic,0,2.0,dyadic,0,0.0,,1
linear,const0,0,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,W,0
linear,const0,1,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,C,0
linear,const0,2,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,W,0
linear,const0,3,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,W,0
linear,const0,4,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,W,0
linear,const0,5,500,0.0,0,dyadic,0,0.0,dyadic,0,2.0,W|C,0
linear,const0,6,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,C,0
linear,const0,7,500,0.0,0,dyadic,0,0.0,dyadic,0,1.0,C,0
