task,seed,difficulty,final_reward,success,designed,designed_triadic,designed_phi,emergent,emergent_triadic,emergent_phi,emergent_core,pi_W,pi_C
AND,0,98,0.95,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,1,90,0.975,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,2,101,0.975,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,3,101,0.95,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,4,102,0.975,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,5,56,0.925,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,6,96,0.9,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,7,80,0.825,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,8,88,0.925,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
AND,9,233,0.95,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
OR,0,49,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
OR,1,37,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
OR,2,26,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
OR,3,34,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 1]","[1, 1]"
OR,4,9,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
OR,5,35,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[0, 1]"
OR,6,43,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
OR,7,17,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
OR,8,39,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[1, 1]"
OR,9,19,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 1]","[0, 1]"
NAND,0,40,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NAND,1,26,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NAND,2,14,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NAND,3,32,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NAND,4,20,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NAND,5,9,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NAND,6,11,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[1, 0]"
NAND,7,23,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NAND,8,25,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[1, 0]","[0, 0]"
NAND,9,11,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[1, 0]"
NOR,0,76,0.95,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,1,84,0.925,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,2,94,0.975,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,3,68,1.0,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,4,103,0.95,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,5,81,0.975,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,6,94,0.95,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,7,83,0.95,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,8,94,0.95,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
NOR,9,95,0.875,1,triadic,1,2.0,dyadic,0,0.0,,"[0, 0]","[0, 0]"
XOR,0,91,0.975,1,triadic,1,0.5,triadic,1,0.5,W|S|C,"[1, 0]","[0, 1]"
XOR,1,76,0.975,1,triadic,1,0.5,triadic,1,0.5,W|S|C,"[1, 0]","[0, 1]"
XOR,2,96,1.0,1,triadic,1,0.5,triadic,1,0.5,W|S|C,"[0, 1]","[1, 0]"
XOR,3,98,0.875,1,triadic,1,0.5,dyadic,0,0.0,,"[0, 0]","[1, 1]"
