panel,screen,n_forms,n_tri,auc,orient
mediation,phi_full,48,24,1.000000,1
mediation,phi_omit,48,24,0.750000,1
mediation,phi_hub,48,24,0.805556,1
mediation,phi_ring,48,24,0.882812,1
mediation,phi_copy_a,48,24,0.895833,1
mediation,phi_matched,48,24,0.895833,1
mediation,phi_mismatched,48,24,0.805556,1
mediation,phi_const0,48,24,0.500000,1
hub_native,phi_full,15,9,1.000000,1
hub_native,phi_omit,15,9,0.740741,1
hub_native,phi_hub,15,9,0.666667,1
hub_native,phi_ring,15,9,0.611111,1
hub_native,phi_copy_a,15,9,0.712963,1
hub_native,phi_matched,15,9,0.666667,1
hub_native,phi_mismatched,15,9,0.611111,1
hub_native,phi_const0,15,9,0.500000,1
ring_native,phi_full,6,3,1.000000,1
ring_native,phi_omit,6,3,0.500000,1
ring_native,phi_hub,6,3,0.500000,1
ring_native,phi_ring,6,3,0.500000,1
ring_native,phi_copy_a,6,3,0.500000,1
ring_native,phi_matched,6,3,0.500000,1
ring_native,phi_mismatched,6,3,0.500000,1
ring_native,phi_const0,6,3,0.500000,1
hub_ring,phi_full,21,12,1.000000,1
hub_ring,phi_omit,21,12,0.689815,1
hub_ring,phi_hub,21,12,0.625000,1
hub_ring,phi_ring,21,12,0.513889,1
hub_ring,phi_copy_a,21,12,0.629630,1
hub_ring,phi_matched,21,12,0.550926,1
hub_ring,phi_mismatched,21,12,0.541667,1
hub_ring,phi_const0,21,12,0.500000,1
