topo,family,name,n,triadic,phi_full,phi_omit,phi_hub,phi_ring,phi_copy_a,phi_matched,phi_mismatched,phi_const0,exact_matched,exact_mismatched
mediation,mediation,W2_S6_C2,3,1,0.500000,2.000000,0.500000,0.415037,2.000000,2.000000,0.500000,0.000000,0,1
mediation,mediation,W2_S14_C2,3,1,2.000000,2.000000,0.000000,0.830075,2.000000,2.000000,0.000000,0.000000,1,0
mediation,mediation,W2_S13_C1,3,1,2.000000,2.000000,2.000000,0.415037,0.415037,0.415037,2.000000,0.000000,0,1
mediation,mediation,W2_S9_C2,3,1,0.500000,2.000000,0.500000,0.415037,2.000000,2.000000,0.500000,0.000000,0,1
mediation,mediation,W1_S6_C2,3,1,0.500000,2.000000,0.500000,2.000000,2.000000,2.000000,0.500000,0.000000,0,1
mediation,mediation,W1_S6_C1,3,1,0.500000,2.000000,0.500000,2.000000,2.000000,2.000000,0.500000,0.000000,0,1
mediation,mediation,W1_S2_C2,3,1,2.000000,2.000000,0.000000,0.415037,0.415037,0.415037,0.000000,0.000000,0,0
mediation,mediation,W1_S4_C2,3,1,2.000000,0.000000,0.000000,0.830075,0.415037,0.415037,0.000000,0.000000,0,0
mediation,mediation,W1_S9_C2,3,1,0.500000,2.000000,0.500000,2.000000,2.000000,2.000000,0.500000,0.000000,0,1
mediation,mediation,W2_S8_C2,3,1,2.000000,0.000000,0.000000,0.415037,2.000000,2.000000,0.000000,0.000000,1,0
mediation,mediation,W1_S13_C2,3,1,2.000000,2.000000,0.000000,0.415037,0.415037,0.415037,0.000000,0.000000,0,0
mediation,mediation,W1_S7_C1,3,1,2.000000,0.000000,2.000000,0.415037,2.000000,2.000000,2.000000,0.000000,1,1
mediation,mediation,W2_S4_C1,3,1,2.000000,0.000000,2.000000,0.830075,0.415037,0.415037,2.000000,0.000000,0,1
mediation,mediation,W1_S14_C1,3,1,2.000000,2.000000,2.000000,0.415037,2.000000,2.000000,2.000000,0.000000,1,1
mediation,mediation,W1_S9_C1,3,1,0.500000,2.000000,0.500000,2.000000,2.000000,2.000000,0.500000,0.000000,0,1
mediation,mediation,W2_S6_C1,3,1,0.500000,2.000000,0.500000,0.415037,2.000000,2.000000,0.500000,0.000000,0,1
mediation,mediation,W2_S9_C1,3,1,0.500000,2.000000,0.500000,0.415037,2.000000,2.000000,0.500000,0.000000,0,1
mediation,mediation,W1_S1_C1,3,1,2.000000,2.000000,2.000000,0.415037,2.000000,2.000000,2.000000,0.000000,1,1
mediation,mediation,W2_S11_C1,3,1,2.000000,0.000000,2.000000,0.830075,0.415037,0.415037,2.000000,0.000000,0,1
mediation,mediation,W2_S1_C2,3,1,2.000000,2.000000,0.000000,0.830075,2.000000,2.000000,0.000000,0.000000,1,0
mediation,mediation,W1_S11_C2,3,1,2.000000,0.000000,0.000000,0.000000,0.415037,0.415037,0.000000,0.000000,0,0
mediation,mediation,W2_S2_C1,3,1,2.000000,2.000000,2.000000,0.415037,0.415037,0.415037,2.000000,0.000000,0,1
mediation,mediation,W1_S8_C1,3,1,2.000000,0.000000,2.000000,1.000000,2.000000,2.000000,2.000000,0.000000,1,1
mediation,mediation,W2_S7_C2,3,1,2.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,1,0
mediation,mediation,W2_S0_C3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W1_S4_C1,3,0,0.000000,0.000000,0.000000,0.830075,0.415037,0.415037,0.000000,0.000000,0,1
mediation,mediation,W0_S6_C3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W1_S13_C1,3,0,0.000000,2.000000,0.000000,0.415037,0.415037,0.415037,0.000000,0.000000,0,1
mediation,mediation,W1_S14_C0,3,0,0.000000,2.000000,2.000000,0.415037,2.000000,2.000000,2.000000,0.000000,0,0
mediation,mediation,W0_S9_C3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W3_S9_C0,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W3_S10_C0,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W2_S12_C0,3,0,0.000000,0.000000,0.000000,0.415037,2.000000,2.000000,0.000000,0.000000,0,1
mediation,mediation,W3_S5_C2,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W0_S8_C3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W3_S3_C2,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W3_S2_C0,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W0_S8_C1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W0_S10_C3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W1_S2_C3,3,0,0.000000,2.000000,0.000000,0.415037,0.415037,0.415037,0.000000,0.000000,0,1
mediation,mediation,W0_S1_C1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W0_S15_C0,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W3_S13_C0,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W2_S7_C0,3,0,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0,1
mediation,mediation,W2_S15_C3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W3_S10_C1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W2_S10_C3,3,0,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
mediation,mediation,W0_S2_C1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
hub,hub,and_hub_n3,3,1,2.000000,0.000000,2.000000,1.000000,2.000000,2.000000,1.000000,0.000000,1,0
hub,or_hub,or_hub_n3,3,1,2.000000,2.000000,2.000000,0.415037,2.000000,2.000000,0.415037,0.000000,1,0
hub,broadcast,broadcast_n3,3,0,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
hub,broken,broken_hub_n3,3,0,0.000000,0.000000,2.000000,1.000000,2.000000,2.000000,1.000000,0.000000,0,0
hub,parity,parity_n3,3,1,0.500000,2.000000,0.500000,2.000000,2.000000,0.500000,2.000000,0.000000,1,0
ring,ring,ring_n3,3,1,6.000000,0.000000,1.000000,6.000000,1.000000,6.000000,1.000000,0.000000,1,0
ring,broken_ring,broken_ring_n3,3,0,0.000000,0.000000,1.000000,6.000000,1.000000,6.000000,1.000000,0.000000,0,0
hub,hub,and_hub_n4,4,1,3.000000,0.000000,3.000000,2.000000,1.000000,3.000000,2.000000,0.000000,1,0
hub,or_hub,or_hub_n4,4,1,3.000000,2.000000,3.000000,0.415037,1.000000,3.000000,0.415037,0.000000,1,0
hub,broadcast,broadcast_n4,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
hub,broken,broken_hub_n4,4,0,0.000000,0.000000,3.000000,2.000000,1.000000,3.000000,2.000000,0.000000,0,0
hub,parity,parity_n4,4,1,0.250000,0.500000,0.250000,0.500000,0.500000,0.250000,0.500000,0.000000,1,0
ring,ring,ring_n4,4,1,4.000000,0.000000,1.000000,4.000000,2.000000,4.000000,1.000000,0.000000,1,0
ring,broken_ring,broken_ring_n4,4,0,0.000000,0.000000,1.000000,4.000000,2.000000,4.000000,1.000000,0.000000,0,0
hub,hub,and_hub_n5,5,1,4.000000,0.000000,4.000000,3.000000,1.000000,4.000000,3.000000,0.000000,1,0
hub,or_hub,or_hub_n5,5,1,4.000000,3.000000,4.000000,0.415037,1.000000,4.000000,0.415037,0.000000,1,0
hub,broadcast,broadcast_n5,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
hub,broken,broken_hub_n5,5,0,0.000000,0.000000,4.000000,3.000000,1.000000,4.000000,3.000000,0.000000,0,0
hub,parity,parity_n5,5,1,0.125000,0.250000,0.125000,0.250000,0.250000,0.125000,0.250000,0.000000,1,0
ring,ring,ring_n5,5,1,4.000000,0.000000,1.000000,4.000000,1.000000,4.000000,1.000000,0.000000,1,0
ring,broken_ring,broken_ring_n5,5,0,0.000000,0.000000,1.000000,4.000000,1.000000,4.000000,1.000000,0.000000,0,0
other,chain,chain_n3,3,1,2.000000,0.000000,2.000000,1.000000,2.000000,2.000000,2.000000,0.000000,1,1
other,pool,pool_n3,3,1,6.000000,0.000000,1.000000,6.000000,1.000000,1.000000,1.000000,0.000000,0,0
other,maj,maj_n3,3,1,2.000000,0.000000,2.000000,1.000000,2.000000,2.000000,2.000000,0.000000,1,1
other,chain,chain_n4,4,1,2.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0,0
other,pool,pool_n4,4,1,12.000000,0.000000,1.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0,0
other,maj,maj_n4,4,0,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1
other,two_hub,two_hub_n4,4,1,2.000000,0.000000,1.000000,1.000000,2.000000,2.000000,1.000000,0.000000,1,0
