carrier,n,locus,p,structure,phi,seconds
hub3,3,mediator,0.00,triadic,2.000000,0.06
hub3,3,mediator,0.10,triadic,1.188722,0.06
hub3,3,mediator,0.20,triadic,0.681511,0.06
hub3,3,mediator,0.25,triadic,0.500000,0.06
hub3,3,mediator,0.30,triadic,0.353218,0.06
hub3,3,mediator,0.40,triadic,0.138346,0.06
hub3,3,mediator,0.45,triadic,0.061225,0.06
hub3,3,mediator,0.49,triadic,0.011093,0.06
hub3,3,mediator,0.50,dyadic,0.000000,0.01
hub3,3,party,0.00,triadic,2.000000,0.06
hub3,3,party,0.10,triadic,0.763197,0.07
hub3,3,party,0.20,triadic,0.542458,0.07
hub3,3,party,0.25,triadic,0.438722,0.07
hub3,3,party,0.30,triadic,0.339799,0.08
hub3,3,party,0.40,triadic,0.157821,0.08
hub3,3,party,0.45,triadic,0.075627,0.08
hub3,3,party,0.49,triadic,0.014570,0.08
hub3,3,party,0.50,dyadic,0.000000,0.05
shared_k2,5,mediator,0.00,triadic,4.000000,2.45
shared_k2,5,mediator,0.10,triadic,0.969361,2.41
shared_k2,5,mediator,0.20,triadic,0.368857,2.47
shared_k2,5,mediator,0.25,triadic,0.235840,2.41
shared_k2,5,mediator,0.30,triadic,0.149008,2.46
shared_k2,5,mediator,0.40,triadic,0.049143,2.41
shared_k2,5,mediator,0.45,triadic,0.020313,2.41
shared_k2,5,mediator,0.49,triadic,0.003506,2.46
shared_k2,5,mediator,0.50,dyadic,0.000000,0.12
shared_k2,5,party,0.00,triadic,4.000000,2.41
shared_k2,5,party,0.10,triadic,0.763197,2.58
shared_k2,5,party,0.20,triadic,0.542458,2.52
shared_k2,5,party,0.25,triadic,0.438722,2.57
shared_k2,5,party,0.30,triadic,0.339799,2.52
shared_k2,5,party,0.40,triadic,0.157821,2.58
shared_k2,5,party,0.45,triadic,0.075627,2.52
shared_k2,5,party,0.49,triadic,0.014570,2.57
shared_k2,5,party,0.50,dyadic,0.000000,0.22
necklace,6,mediator,0.00,triadic,4.000000,25.07
necklace,6,mediator,0.10,triadic,3.226466,27.03
necklace,6,mediator,0.20,triadic,2.554116,27.06
necklace,6,mediator,0.25,triadic,2.250000,27.02
necklace,6,mediator,0.30,triadic,1.965148,28.67
necklace,6,mediator,0.40,triadic,0.249022,28.63
necklace,6,mediator,0.45,triadic,0.116327,28.67
necklace,6,mediator,0.49,triadic,0.021965,28.66
necklace,6,mediator,0.50,dyadic,0.000000,7.93
necklace,6,party,0.00,triadic,4.000000,25.35
necklace,6,party,0.10,triadic,3.226466,27.24
necklace,6,party,0.20,triadic,2.554116,26.98
necklace,6,party,0.25,triadic,2.250000,27.01
necklace,6,party,0.30,triadic,1.965148,27.20
necklace,6,party,0.40,triadic,0.249022,27.60
necklace,6,party,0.45,triadic,0.116327,27.30
necklace,6,party,0.49,triadic,0.021965,27.30
necklace,6,party,0.50,dyadic,0.000000,4.80
