family,name,n,omit,indeg,cycles,recip,class_key,structure,whole_phi_mip,core,core_phi,n_core,seconds
designed,"des_cyc(2,)_r1",7,6|5|5|2|0|1|3,"(0, 1, 1, 1, 1, 1, 2)","(2,)",1,"cyc=(2,)|recip=1",triadic,8.0,N0|N1|N2|N3|N4|N6,12.0,6,439.18
designed,"des_cyc(2, 2)_r2",7,1|6|0|5|2|3|1,"(0, 1, 1, 1, 1, 1, 2)","(2, 2)",2,"cyc=(2, 2)|recip=2",triadic,8.0,N0|N2|N3|N4|N5|N6,12.0,6,436.74
designed,"des_cyc(2, 2, 2)_r3",7,5|2|1|6|5|4|3,"(0, 1, 1, 1, 1, 1, 2)","(2, 2, 2)",3,"cyc=(2, 2, 2)|recip=3",triadic,8.0,N1|N2|N3|N4|N5|N6,12.0,6,432.56
designed,"des_cyc(2, 3)_r1",7,5|5|6|2|1|0|3,"(0, 1, 1, 1, 1, 1, 2)","(2, 3)",1,"cyc=(2, 3)|recip=1",triadic,4.0,N1|N2|N3|N4|N5|N6,14.0,6,1439.97
designed,"des_cyc(2, 4)_r1",7,4|2|5|0|6|2|3,"(0, 1, 1, 1, 1, 1, 2)","(2, 4)",1,"cyc=(2, 4)|recip=1",triadic,8.0,N0|N2|N3|N4|N5|N6,12.0,6,437.16
designed,"des_cyc(3,)_r0",7,6|5|3|1|2|0|5,"(0, 1, 1, 1, 1, 1, 2)","(3,)",0,"cyc=(3,)|recip=0",triadic,4.0,N0|N2|N3|N4|N5|N6,14.0,6,438.68
designed,"des_cyc(3, 3)_r0",7,1|3|5|0|5|6|2,"(0, 1, 1, 1, 1, 1, 2)","(3, 3)",0,"cyc=(3, 3)|recip=0",triadic,4.0,N0|N1|N3|N4|N5|N6,14.0,6,1500.38
designed,"des_cyc(4,)_r0",7,1|2|6|5|3|2|0,"(0, 1, 1, 1, 1, 1, 2)","(4,)",0,"cyc=(4,)|recip=0",triadic,8.0,N0|N1|N3|N4|N5|N6,12.0,6,439.45
designed,"des_cyc(5,)_r0",7,3|3|1|6|5|0|4,"(0, 1, 1, 1, 1, 1, 2)","(5,)",0,"cyc=(5,)|recip=0",triadic,4.0,N0|N2|N3|N4|N5|N6,14.0,6,2245.94
designed,"des_cyc(6,)_r0",7,4|6|1|0|2|0|3,"(0, 1, 1, 1, 1, 1, 2)","(6,)",0,"cyc=(6,)|recip=0",triadic,8.0,N1|N2|N3|N4|N5|N6,12.0,6,437.89
uniformity,"u_cyc(2,)_r1_1",7,4|5|6|1|3|6|2,"(0, 1, 1, 1, 1, 1, 2)","(2,)",1,"cyc=(2,)|recip=1",triadic,8.0,N0|N1|N2|N3|N4|N5,12.0,6,1924.01
uniformity,"u_cyc(2, 3)_r1_1",7,3|6|0|2|5|4|2,"(0, 1, 1, 1, 1, 1, 2)","(2, 3)",1,"cyc=(2, 3)|recip=1",triadic,4.0,N0|N1|N2|N3|N4|N5,14.0,6,432.87
