family,name,omit,indeg_sig,cycles,recip,is_derangement,is_m3,structure,whole_phi_mip,core,core_phi,n_core,mean_degree,clustering
der_designed,cyc6,1|2|3|4|5|0,"(1, 1, 1, 1, 1, 1)","(6,)",0,True,False,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,1.000000
der_designed,cyc4_2,1|2|3|0|5|4,"(1, 1, 1, 1, 1, 1)","(2, 4)",1,True,False,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.933333
der_designed,cyc2_2_2,1|0|3|2|5|4,"(1, 1, 1, 1, 1, 1)","(2, 2, 2)",3,True,False,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.666667
der_designed,cyc3_3,1|2|0|4|5|3,"(1, 1, 1, 1, 1, 1)","(3, 3)",0,True,False,triadic,14.000000,N0|N1|N2|N3|N4|N5,14.000000,6,8.000000,1.000000
der_designed,cyc3_3_alt,1|2|0|5|3|4,"(1, 1, 1, 1, 1, 1)","(3, 3)",0,True,False,triadic,14.000000,N0|N1|N2|N3|N4|N5,14.000000,6,8.000000,1.000000
der_random,rand_der_0,3|2|5|4|1|0,"(1, 1, 1, 1, 1, 1)","(6,)",0,True,False,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,1.000000
der_random,rand_der_1,3|5|0|4|2|1,"(1, 1, 1, 1, 1, 1)","(2, 4)",1,True,False,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.933333
m3,M3,1|2|0|0|3|4,"(0, 1, 1, 1, 1, 2)","(3,)",0,False,True,triadic,3.000000,N0|N1|N3|N4|N5,8.000000,5,8.000000,1.000000
m3,M3_alt,5|2|3|1|1|4,"(0, 1, 1, 1, 1, 2)","(3,)",0,False,True,triadic,3.000000,N0|N1|N2|N4|N5,8.000000,5,8.000000,1.000000
m3_sibling,"sib_cyc(2,)_r1",1|0|0|2|3|4,"(0, 1, 1, 1, 1, 2)","(2,)",1,False,False,triadic,3.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,0.933333
m3_sibling,"sib_cyc(2, 2)_r2",1|0|0|2|5|4,"(0, 1, 1, 1, 1, 2)","(2, 2)",2,False,False,triadic,3.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,0.822222
m3_sibling,"sib_cyc(2, 3)_r1",1|0|0|4|5|3,"(0, 1, 1, 1, 1, 2)","(2, 3)",1,False,False,triadic,3.000000,N0|N1|N3|N4|N5,9.000000,5,8.000000,0.933333
m3_sibling,"sib_cyc(4,)_r0",1|2|3|0|0|4,"(0, 1, 1, 1, 1, 2)","(4,)",0,False,False,triadic,3.000000,N0|N1|N2|N4|N5,8.000000,5,8.000000,1.000000
m3_sibling,"sib_cyc(5,)_r0",1|2|3|4|0|0,"(0, 1, 1, 1, 1, 2)","(5,)",0,False,False,triadic,3.000000,N0|N1|N2|N3|N4,9.000000,5,8.000000,1.000000
