family,n,p,phi,structure
conjunctive,3,0.00,2.00000000,triadic
conjunctive,3,0.01,1.89937448,triadic
conjunctive,3,0.02,1.80383146,triadic
conjunctive,3,0.03,1.71304964,triadic
conjunctive,3,0.04,1.62673333,triadic
conjunctive,3,0.05,1.54461009,triadic
conjunctive,3,0.06,1.46642848,triadic
conjunctive,3,0.07,1.39195612,triadic
conjunctive,3,0.08,1.32097800,triadic
conjunctive,3,0.09,1.25329487,triadic
conjunctive,3,0.10,1.18872188,triadic
conjunctive,3,0.11,1.12708731,triadic
conjunctive,3,0.12,1.06823151,triadic
conjunctive,3,0.13,1.01200580,triadic
conjunctive,3,0.14,0.95827163,triadic
conjunctive,3,0.15,0.90689973,triadic
conjunctive,3,0.16,0.85776937,triadic
conjunctive,3,0.17,0.81076769,triadic
conjunctive,3,0.18,0.76578905,triadic
conjunctive,3,0.19,0.72273456,triadic
conjunctive,3,0.20,0.68151147,triadic
conjunctive,3,0.21,0.64203279,triadic
conjunctive,3,0.22,0.60421683,triadic
conjunctive,3,0.23,0.56798680,triadic
conjunctive,3,0.24,0.53327051,triadic
conjunctive,3,0.25,0.50000000,triadic
conjunctive,3,0.26,0.46811127,triadic
conjunctive,3,0.27,0.43754400,triadic
conjunctive,3,0.28,0.40824128,triadic
conjunctive,3,0.29,0.38014945,triadic
conjunctive,3,0.30,0.35321778,triadic
conjunctive,3,0.31,0.32739838,triadic
conjunctive,3,0.32,0.30264596,triadic
conjunctive,3,0.33,0.27891767,triadic
conjunctive,3,0.34,0.25617299,triadic
conjunctive,3,0.35,0.23437351,triadic
conjunctive,3,0.36,0.21348288,triadic
conjunctive,3,0.37,0.19346664,triadic
conjunctive,3,0.38,0.17429211,triadic
conjunctive,3,0.39,0.15592831,triadic
conjunctive,3,0.40,0.13834583,triadic
conjunctive,3,0.41,0.12151679,triadic
conjunctive,3,0.42,0.10541470,triadic
conjunctive,3,0.43,0.09001440,triadic
conjunctive,3,0.44,0.07529202,triadic
conjunctive,3,0.45,0.06122487,triadic
conjunctive,3,0.46,0.04779141,triadic
conjunctive,3,0.47,0.03497115,triadic
conjunctive,3,0.48,0.02274466,triadic
conjunctive,3,0.49,0.01109346,triadic
conjunctive,3,0.50,0.00000000,dyadic
parity,3,0.00,0.50000000,triadic
parity,3,0.01,0.48782271,triadic
parity,3,0.02,0.47571829,triadic
parity,3,0.03,0.46368748,triadic
parity,3,0.04,0.45173103,triadic
parity,3,0.05,0.43984972,triadic
parity,3,0.06,0.42804435,triadic
parity,3,0.07,0.41631572,triadic
parity,3,0.08,0.40466465,triadic
parity,3,0.09,0.39309199,triadic
parity,3,0.10,0.38159861,triadic
parity,3,0.11,0.37018537,triadic
parity,3,0.12,0.35885319,triadic
