panel,regime,duty,hidden_or_node,n_forms,n_tri,mi_auc,orient
family_n3,full,1.0,,48,24,0.921875,1
family_n3,hidden_party_C,0.0,2,48,24,0.546875,-1
family_n3,hidden_party_W,0.0,0,48,24,0.524306,-1
family_n3,hidden_mediator_S,0.0,1,48,24,0.934028,1
family_n3,intermittent_party_C,1.0,2,48,24,0.940972,1
family_n3,intermittent_party_C,0.75,2,48,24,0.928819,1
family_n3,intermittent_party_C,0.5,2,48,24,0.923611,1
family_n3,intermittent_party_C,0.25,2,48,24,0.930556,1
family_n3,intermittent_party_C,0.1,2,48,24,0.942708,1
family_n3,intermittent_party_C,0.0,2,48,24,0.520833,1
family_n3,intermittent_mediator_S,1.0,1,48,24,0.921875,1
family_n3,intermittent_mediator_S,0.75,1,48,24,0.932292,1
family_n3,intermittent_mediator_S,0.5,1,48,24,0.925347,1
family_n3,intermittent_mediator_S,0.25,1,48,24,0.928819,1
family_n3,intermittent_mediator_S,0.1,1,48,24,0.940972,1
family_n3,intermittent_mediator_S,0.0,1,48,24,0.920139,1
multifamily_broadcast,full,1.0,,2,0,,0
multifamily_broadcast,hidden_party,0.0,last,2,0,,0
multifamily_chain,full,1.0,,4,2,1.000000,-1
multifamily_chain,hidden_party,0.0,last,4,2,1.000000,-1
multifamily_majority,full,1.0,,4,3,1.000000,-1
multifamily_majority,hidden_party,0.0,last,4,3,1.000000,-1
multifamily_or_hub,full,1.0,,2,2,,0
multifamily_or_hub,hidden_party,0.0,last,2,2,,0
multifamily_parity_hub,full,1.0,,2,2,,0
multifamily_parity_hub,hidden_party,0.0,last,2,2,,0
multifamily_pool,full,1.0,,4,4,,0
multifamily_pool,hidden_party,0.0,last,4,4,,0
multifamily_single_hub,full,1.0,,4,2,1.000000,1
multifamily_single_hub,hidden_party,0.0,last,4,2,0.500000,1
multifamily_two_hub,full,1.0,,1,1,,0
multifamily_two_hub,hidden_party,0.0,last,1,1,,0
multifamily_pooled,full,1.0,,23,16,0.785714,0
multifamily_pooled,hidden_party,0.0,last,23,16,0.848214,0
