panel,family,n,name,triadic,phi_full,phi_alt,phi_phase,mi_full,mi_alt,mi_phase
family_n3,mediation,3,W2_S1_C2,1,2.000000,2.000000,2.000000,0.096387,0.000065,0.100640
family_n3,mediation,3,W2_S4_C1,1,2.000000,1.000000,2.000000,0.107397,0.001058,0.107462
family_n3,mediation,3,W2_S2_C1,1,2.000000,1.000000,2.000000,0.138684,0.001807,0.137256
family_n3,mediation,3,W1_S2_C2,1,2.000000,1.000000,2.000000,0.133381,0.008063,0.126003
family_n3,mediation,3,W2_S9_C1,1,0.500000,2.000000,0.500000,0.090461,0.001535,0.086535
family_n3,mediation,3,W1_S9_C1,1,0.500000,2.000000,0.500000,0.081416,0.000681,0.083030
family_n3,mediation,3,W2_S8_C2,1,2.000000,0.000000,2.000000,0.145628,0.001571,0.142315
family_n3,mediation,3,W1_S14_C1,1,2.000000,2.000000,2.000000,0.117062,0.000414,0.111173
family_n3,mediation,3,W1_S7_C1,1,2.000000,0.000000,2.000000,0.132032,0.000230,0.133104
family_n3,mediation,3,W2_S7_C2,1,2.000000,0.000000,2.000000,0.102358,0.000030,0.090966
family_n3,mediation,3,W1_S9_C2,1,0.500000,2.000000,0.500000,0.089499,0.000569,0.091776
family_n3,mediation,3,W1_S1_C1,1,2.000000,2.000000,2.000000,0.137761,0.000773,0.130068
family_n3,mediation,3,W1_S13_C2,1,2.000000,1.000000,2.000000,0.116420,0.003111,0.119036
family_n3,mediation,3,W2_S6_C2,1,0.500000,2.000000,0.500000,0.088392,0.001231,0.088372
family_n3,mediation,3,W1_S6_C1,1,0.500000,2.000000,0.500000,0.075127,0.000102,0.075101
family_n3,mediation,3,W1_S8_C1,1,2.000000,0.000000,2.000000,0.110733,0.000085,0.093464
family_n3,mediation,3,W2_S14_C2,1,2.000000,2.000000,2.000000,0.138013,0.008677,0.142957
family_n3,mediation,3,W1_S4_C2,1,2.000000,1.000000,2.000000,0.140370,0.000126,0.146202
family_n3,mediation,3,W1_S11_C2,1,2.000000,1.000000,2.000000,0.104117,0.000225,0.105969
family_n3,mediation,3,W2_S11_C1,1,2.000000,1.000000,2.000000,0.132442,0.001394,0.136818
family_n3,mediation,3,W1_S6_C2,1,0.500000,2.000000,0.500000,0.084081,0.000375,0.088784
family_n3,mediation,3,W2_S6_C1,1,0.500000,2.000000,0.500000,0.082579,0.000497,0.084408
family_n3,mediation,3,W2_S13_C1,1,2.000000,1.000000,2.000000,0.119456,0.005214,0.120275
family_n3,mediation,3,W2_S9_C2,1,0.500000,2.000000,0.500000,0.080179,0.000326,0.081561
family_n3,mediation,3,W1_S0_C3,0,0.000000,0.000000,0.000000,0.000767,0.001317,0.001297
family_n3,mediation,3,W1_S3_C1,0,0.000000,1.000000,0.000000,0.130973,0.000348,0.129807
family_n3,mediation,3,W1_S8_C3,0,0.000000,0.000000,0.000000,0.002176,0.002638,0.003371
family_n3,mediation,3,W0_S1_C2,0,0.000000,1.000000,0.000000,0.000709,0.003158,0.002150
family_n3,mediation,3,W2_S12_C3,0,0.000000,0.000000,0.000000,0.000456,0.000087,0.000236
family_n3,mediation,3,W0_S1_C1,0,0.000000,1.000000,0.000000,0.000139,0.000099,0.000201
family_n3,mediation,3,W3_S7_C2,0,0.000000,0.000000,0.000000,0.000482,0.001574,0.001482
family_n3,mediation,3,W1_S5_C2,0,0.000000,1.000000,0.000000,0.127156,0.002520,0.128309
family_n3,mediation,3,W3_S5_C2,0,0.000000,0.000000,0.000000,0.000712,0.000994,0.000897
family_n3,mediation,3,W1_S14_C0,0,0.000000,1.000000,0.000000,0.001238,0.000764,0.000747
family_n3,mediation,3,W2_S14_C3,0,0.000000,1.000000,0.000000,0.000301,0.001072,0.001314
family_n3,mediation,3,W3_S3_C1,0,0.000000,1.000000,0.000000,0.000132,0.003564,0.001751
family_n3,mediation,3,W3_S2_C3,0,0.000000,0.000000,0.000000,0.000289,0.000204,0.001312
family_n3,mediation,3,W3_S15_C3,0,0.000000,0.000000,0.000000,0.000803,0.000730,0.001414
family_n3,mediation,3,W1_S10_C1,0,0.000000,1.000000,0.000000,0.125236,0.004554,0.121052
family_n3,mediation,3,W3_S10_C3,0,0.000000,0.000000,0.000000,0.000747,0.000293,0.001589
family_n3,mediation,3,W2_S13_C3,0,0.000000,1.000000,0.000000,0.000080,0.001013,0.000896
family_n3,mediation,3,W0_S9_C2,0,0.000000,1.000000,0.000000,0.000420,0.002046,0.000891
family_n3,mediation,3,W0_S9_C0,0,0.000000,0.000000,0.000000,0.000278,0.000585,0.000158
family_n3,mediation,3,W2_S15_C2,0,0.000000,0.000000,0.000000,0.027686,0.000349,0.032212
family_n3,mediation,3,W2_S2_C2,0,0.000000,1.000000,0.000000,0.057624,0.002126,0.051914
family_n3,mediation,3,W2_S3_C0,0,0.000000,0.000000,0.000000,0.000611,0.001376,0.000460
family_n3,mediation,3,W2_S9_C3,0,0.000000,1.000000,0.000000,0.000841,0.000498,0.001366
family_n3,mediation,3,W1_S10_C0,0,0.000000,1.000000,0.000000,0.002524,0.003492,0.002295
multifamily,chain,3,chain_and_n3,1,2.000000,0.000000,2.000000,0.097722,0.124543,0.109930
multifamily,chain,3,chain_ff_n3,0,0.000000,0.000000,0.000000,0.246822,0.303169,0.259002
multifamily,pool,3,pool_and_n3,1,6.000000,0.000000,6.000000,0.001759,0.001261,0.001129
multifamily,pool,3,pool_or_n3,1,6.000000,2.000000,6.000000,0.000627,0.003358,0.000439
multifamily,hub,3,and_hub_n3,1,2.000000,0.000000,2.000000,0.113004,0.001635,0.135795
multifamily,hub,3,broken_hub_n3,0,0.000000,0.000000,0.000000,0.034834,0.038205,0.032948
multifamily,or_hub,3,or_hub_n3,1,2.000000,2.000000,2.000000,0.089201,0.000057,0.113924
multifamily,parity,3,parity_hub_n3,1,0.500000,2.000000,0.500000,0.083228,0.001607,0.079233
multifamily,broadcast,3,broadcast_n3,0,0.000000,1.000000,0.000000,0.134272,0.000064,0.139126
