start,terminal,phi_start,phi_term,struct_term,is_and,is_or,is_maximizer
0,128,0.00000000,2.00000000,triadic,0,0,1
1,5,0.00000000,2.00000000,triadic,0,0,1
2,6,0.00000000,2.00000000,triadic,0,0,1
3,131,0.00000000,2.00000000,triadic,0,0,1
4,5,0.00000000,2.00000000,triadic,0,0,1
5,5,2.00000000,2.00000000,triadic,0,0,1
6,6,2.00000000,2.00000000,triadic,0,0,1
7,6,0.00000000,2.00000000,triadic,0,0,1
8,201,0.00000000,2.00000000,triadic,0,0,1
9,201,0.00000000,2.00000000,triadic,0,0,1
10,202,0.00000000,2.00000000,triadic,0,0,1
11,202,0.00000000,2.00000000,triadic,0,0,1
12,12,0.00000000,0.00000000,dyadic,0,0,0
13,5,0.00000000,2.00000000,triadic,0,0,1
14,6,0.00000000,2.00000000,triadic,0,0,1
15,15,0.00000000,0.00000000,dyadic,0,0,0
16,20,0.00000000,2.00000000,triadic,0,0,1
17,145,0.00000000,2.00000000,triadic,0,0,1
18,50,0.50000000,2.00000000,triadic,0,0,1
19,147,0.00000000,2.00000000,triadic,0,0,1
20,20,2.00000000,2.00000000,triadic,0,0,1
21,20,0.00000000,2.00000000,triadic,0,0,1
22,20,0.50000000,2.00000000,triadic,0,0,1
23,20,0.00000000,2.00000000,triadic,0,0,1
24,216,0.00000000,2.00000000,triadic,0,0,1
25,216,0.00000000,2.00000000,triadic,0,0,1
26,58,0.50000000,2.00000000,triadic,0,0,1
27,58,0.00000000,2.00000000,triadic,0,0,1
28,20,0.00000000,2.00000000,triadic,0,0,1
29,29,0.00000000,0.00000000,dyadic,0,0,0
30,62,0.50000000,2.00000000,triadic,0,0,1
31,95,0.00000000,2.00000000,triadic,0,0,1
32,36,0.00000000,2.00000000,triadic,0,0,1
33,161,0.50000000,2.00000000,triadic,0,0,1
34,50,0.00000000,2.00000000,triadic,0,0,1
35,163,0.00000000,2.00000000,triadic,0,0,1
36,36,2.00000000,2.00000000,triadic,0,0,1
37,36,0.50000000,2.00000000,triadic,0,0,1
38,36,0.00000000,2.00000000,triadic,0,0,1
39,36,0.00000000,2.00000000,triadic,0,0,1
40,108,0.00000000,2.00000000,triadic,0,0,1
41,41,0.50000000,0.50000000,triadic,0,0,0
42,58,0.00000000,2.00000000,triadic,0,0,1
43,41,0.00000000,0.50000000,triadic,0,0,0
44,36,0.00000000,2.00000000,triadic,0,0,1
45,108,0.50000000,2.00000000,triadic,0,0,1
46,62,0.00000000,2.00000000,triadic,0,0,1
47,108,0.00000000,2.00000000,triadic,0,0,1
48,50,0.00000000,2.00000000,triadic,0,0,1
49,177,0.00000000,2.00000000,triadic,0,0,1
50,50,2.00000000,2.00000000,triadic,0,0,1
51,50,0.00000000,2.00000000,triadic,0,0,1
52,54,0.00000000,2.00000000,triadic,0,0,1
53,36,0.00000000,2.00000000,triadic,0,0,1
54,54,2.00000000,2.00000000,triadic,0,0,1
55,54,0.00000000,2.00000000,triadic,0,0,1
56,58,0.00000000,2.00000000,triadic,0,0,1
57,41,0.00000000,0.50000000,triadic,0,0,0
58,58,2.00000000,2.00000000,triadic,0,0,1
59,58,0.00000000,2.00000000,triadic,0,0,1
60,62,0.00000000,2.00000000,triadic,0,0,1
61,108,0.00000000,2.00000000,triadic,0,0,1
62,62,2.00000000,2.00000000,triadic,0,0,1
63,62,0.00000000,2.00000000,triadic,0,0,1
64,201,0.00000000,2.00000000,triadic,0,0,1
65,201,0.00000000,2.00000000,triadic,0,0,1
66,202,0.00000000,2.00000000,triadic,0,0,1
67,202,0.00000000,2.00000000,triadic,0,0,1
68,68,0.00000000,0.00000000,dyadic,0,0,0
69,5,0.00000000,2.00000000,triadic,0,0,1
70,6,0.00000000,2.00000000,triadic,0,0,1
71,71,0.00000000,0.00000000,dyadic,0,0,0
72,201,0.50000000,2.00000000,triadic,0,0,1
73,201,1.00000000,2.00000000,triadic,0,0,1
74,202,1.00000000,2.00000000,triadic,0,0,1
75,202,0.50000000,2.00000000,triadic,0,0,1
76,108,0.00000000,2.00000000,triadic,0,0,1
77,201,0.00000000,2.00000000,triadic,0,0,1
78,202,0.00000000,2.00000000,triadic,0,0,1
79,95,0.00000000,2.00000000,triadic,0,0,1
80,216,0.00000000,2.00000000,triadic,0,0,1
81,216,0.00000000,2.00000000,triadic,0,0,1
82,114,0.50000000,2.00000000,triadic,0,0,1
83,114,0.00000000,2.00000000,triadic,0,0,1
84,20,0.00000000,2.00000000,triadic,0,0,1
85,85,0.00000000,0.00000000,dyadic,0,0,0
86,118,0.50000000,2.00000000,triadic,0,0,1
87,95,0.00000000,2.00000000,triadic,0,0,1
88,216,1.00000000,2.00000000,triadic,0,0,1
89,216,0.50000000,2.00000000,triadic,0,0,1
90,122,0.50000000,2.00000000,triadic,0,0,1
91,95,0.50000000,2.00000000,triadic,0,0,1
92,95,0.00000000,2.00000000,triadic,0,0,1
93,95,0.00000000,2.00000000,triadic,0,0,1
94,95,1.00000000,2.00000000,triadic,0,0,1
95,95,2.00000000,2.00000000,triadic,0,0,1
96,108,0.00000000,2.00000000,triadic,0,0,1
97,97,0.50000000,0.50000000,triadic,0,0,0
98,114,0.00000000,2.00000000,triadic,0,0,1
99,97,0.00000000,0.50000000,triadic,0,0,0
100,108,0.00000000,2.00000000,triadic,0,0,1
101,108,0.50000000,2.00000000,triadic,0,0,1
102,118,0.00000000,2.00000000,triadic,0,0,1
103,108,0.00000000,2.00000000,triadic,0,0,1
104,108,1.00000000,2.00000000,triadic,0,0,1
105,108,0.50000000,2.00000000,triadic,0,0,1
106,122,0.50000000,2.00000000,triadic,0,0,1
107,107,0.50000000,0.50000000,triadic,0,0,0
108,108,2.00000000,2.00000000,triadic,0,0,1
109,108,1.00000000,2.00000000,triadic,0,0,1
110,108,0.00000000,2.00000000,triadic,0,0,1
111,108,0.00000000,2.00000000,triadic,0,0,1
112,114,0.00000000,2.00000000,triadic,0,0,1
113,121,0.00000000,0.50000000,triadic,0,0,0
114,114,2.00000000,2.00000000,triadic,0,0,1
