n,start,terminal,phi_start,phi_term
3,chain,pool,2.00000000,6.00000000
3,conjunctive_hub,pool,2.00000000,6.00000000
3,two_hub,pool,2.00000000,6.00000000
3,pool,pool,6.00000000,6.00000000
3,ring,ring,6.00000000,6.00000000
3,parity_hub,pool,0.50000000,6.00000000
4,chain,pool,2.00000000,12.00000000
4,conjunctive_hub,pool,3.00000000,12.00000000
4,two_hub,pool,2.00000000,12.00000000
4,pool,pool,12.00000000,12.00000000
4,ring,pool,4.00000000,12.00000000
4,parity_hub,pool,0.25000000,12.00000000
