ensemble,n,seed,structure,whole_phi_mip,core,core_phi,n_core,mean_degree,clustering
ER_p0.3,4,0,dyadic,0.000000,N0|N1|N2,2.000000,3,2.000000,0.583333
ER_p0.3,4,1,dyadic,0.000000,N2|N3,2.000000,2,2.000000,0.000000
ER_p0.3,4,2,dyadic,0.000000,N1|N2,2.000000,2,2.000000,0.000000
ER_p0.3,4,3,dyadic,0.000000,N1|N2,2.000000,2,3.000000,0.583333
ER_p0.3,4,4,dyadic,0.000000,N0|N2|N3,2.000000,3,2.000000,0.583333
ER_p0.3,4,5,triadic,2.000000,N0|N1|N2|N3,2.000000,4,2.000000,0.000000
ER_p0.3,4,6,triadic,2.000000,N0|N1|N2|N3,2.000000,4,2.000000,0.000000
ER_p0.3,4,7,triadic,2.000000,N0|N1,2.000000,2,2.500000,0.000000
ER_p0.3,4,8,dyadic,0.000000,N1|N2,2.000000,2,2.000000,0.000000
ER_p0.3,4,9,triadic,1.000000,N0|N2,2.000000,2,3.000000,0.833333
ER_p0.3,4,10,dyadic,0.000000,N1|N3,2.000000,2,2.000000,0.000000
ER_p0.3,4,11,dyadic,0.000000,N0|N2,2.000000,2,2.500000,0.583333
ER_p0.3,4,12,dyadic,0.000000,N0|N1,2.000000,2,2.500000,0.583333
ER_p0.3,4,13,triadic,2.000000,N0|N2|N3,2.000000,3,2.500000,0.833333
ER_p0.3,4,14,triadic,2.000000,N1|N3,2.000000,2,2.500000,0.000000
ER_p0.3,4,15,triadic,2.000000,N0|N1|N2|N3,2.000000,4,2.000000,0.000000
ER_p0.3,4,16,dyadic,0.000000,N1|N3,2.000000,2,2.500000,0.583333
ER_p0.3,4,17,dyadic,0.000000,N0|N3,2.000000,2,2.500000,0.000000
ER_p0.3,4,18,triadic,1.000000,N2|N3,2.000000,2,3.500000,0.583333
ER_p0.3,4,19,dyadic,0.000000,N0|N1|N3,2.000000,3,2.000000,0.583333
ER_p0.3,4,20,dyadic,0.000000,N1|N2,2.000000,2,2.000000,0.000000
ER_p0.3,4,21,triadic,1.000000,N0|N1|N3,2.000000,3,3.000000,1.000000
ER_p0.3,4,22,dyadic,0.000000,N0|N3,2.000000,2,2.000000,0.000000
ER_p0.3,4,23,dyadic,0.000000,N1|N3,2.000000,2,2.000000,0.000000
ER_p0.3,4,24,triadic,1.000000,N1|N2|N3,2.000000,3,3.000000,0.583333
ER_p0.3,4,25,dyadic,0.000000,N0|N3,2.000000,2,2.000000,0.000000
ER_p0.3,4,26,triadic,2.000000,N0|N1|N2|N3,2.000000,4,2.000000,0.000000
ER_p0.3,4,27,dyadic,0.000000,N0|N1,2.000000,2,2.500000,0.583333
ER_p0.3,4,28,triadic,1.000000,N1|N2|N3,2.000000,3,3.000000,1.000000
ER_p0.3,4,29,dyadic,0.000000,N0|N1,2.000000,2,2.500000,0.583333
ER_p0.3,4,30,dyadic,0.000000,N1|N3,2.000000,2,3.500000,1.000000
ER_p0.3,4,31,dyadic,0.000000,N2|N3,2.000000,2,2.000000,0.000000
ER_p0.5,4,0,dyadic,0.000000,N0|N2,2.000000,2,2.500000,0.583333
ER_p0.5,4,1,dyadic,0.000000,N1|N2|N3,2.000000,3,3.000000,0.000000
ER_p0.5,4,2,dyadic,0.000000,N0|N1,2.000000,2,3.000000,0.833333
ER_p0.5,4,3,triadic,1.000000,N0|N2,2.000000,2,3.500000,0.833333
ER_p0.5,4,4,dyadic,0.000000,N0|N3,2.000000,2,3.000000,0.583333
ER_p0.5,4,5,dyadic,0.000000,N1|N3,2.000000,2,2.500000,0.000000
ER_p0.5,4,6,triadic,2.000000,N0|N1|N2,6.000000,3,4.000000,0.833333
ER_p0.5,4,7,triadic,1.000000,N0|N1,2.000000,2,3.500000,0.833333
ER_p0.5,4,8,dyadic,0.000000,N0|N1,2.000000,2,2.500000,0.000000
ER_p0.5,4,9,triadic,2.000000,N0|N1|N2|N3,2.000000,4,2.000000,0.000000
ER_p0.5,4,10,triadic,1.000000,N1|N3,2.000000,2,4.500000,1.000000
