ensemble,n,seed,structure,whole_phi_mip,core,core_phi,n_core,mean_degree,clustering
ER_p0.4,5,0,dyadic,0.000000,N2|N4,2.000000,2,2.000000,0.000000
ER_p0.4,5,1,dyadic,0.000000,N2|N3,2.000000,2,4.000000,0.400000
ER_p0.4,5,2,triadic,6.000000,N0|N1|N2|N3|N4,6.000000,5,5.600000,0.900000
ER_p0.4,5,3,triadic,1.000000,N3|N4,2.000000,2,4.000000,0.866667
ER_p0.4,5,4,dyadic,0.000000,N1|N2,2.000000,2,2.800000,0.333333
ER_p0.4,5,5,dyadic,0.000000,N2|N4,2.000000,2,3.600000,0.866667
ER_p0.4,5,6,dyadic,0.000000,N0|N3|N4,2.000000,3,3.600000,0.666667
ER_p0.4,5,7,triadic,2.000000,N2|N3,2.000000,2,2.800000,0.333333
ER_p0.4,5,8,triadic,1.000000,N0|N3|N4,2.000000,3,4.000000,0.400000
ER_p0.4,5,9,dyadic,0.000000,N1|N4,2.000000,2,2.800000,0.466667
ER_p0.4,5,10,dyadic,0.000000,N0|N1,2.000000,2,3.200000,0.600000
ER_p0.4,5,11,triadic,2.000000,N0|N1|N2|N3|N4,2.000000,5,3.600000,0.866667
ER_p0.4,5,12,triadic,2.000000,N0|N1|N2|N3|N4,2.000000,5,4.400000,0.400000
ER_p0.4,5,13,dyadic,0.000000,N0|N1,2.000000,2,4.000000,0.866667
ER_p0.4,5,14,dyadic,0.000000,N1|N2,2.000000,2,3.200000,0.766667
ER_p0.4,5,15,dyadic,0.000000,N1|N3,2.000000,2,4.000000,0.700000
ER_p0.4,5,16,triadic,1.000000,N2|N3|N4,2.000000,3,3.600000,0.700000
ER_p0.4,5,17,triadic,2.000000,N0|N1|N3|N4,2.000000,4,2.400000,0.333333
ER_p0.4,5,18,dyadic,0.000000,N1|N4,2.000000,2,3.200000,0.533333
ER_p0.4,5,19,triadic,1.000000,N0|N1|N2,6.000000,3,4.000000,0.333333
fixed_k2,5,0,dyadic,0.000000,N0|N3,2.000000,2,4.000000,0.766667
fixed_k2,5,1,triadic,1.000000,N0|N2|N4,2.000000,3,4.000000,0.900000
fixed_k2,5,2,triadic,1.000000,N2|N4,2.000000,2,4.000000,0.766667
fixed_k2,5,3,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,4.000000,0.400000
fixed_k2,5,4,triadic,1.000000,N2|N4,2.000000,2,4.000000,0.666667
fixed_k2,5,5,triadic,1.000000,N2|N4,2.000000,2,4.000000,0.666667
fixed_k2,5,6,triadic,1.415037,N1|N2,2.000000,2,4.000000,0.400000
fixed_k2,5,7,triadic,1.245112,N2|N3,2.000000,2,4.000000,0.666667
fixed_k2,5,8,triadic,1.415037,N1|N3,2.000000,2,4.000000,0.766667
fixed_k2,5,9,triadic,1.000000,N1|N4,2.000000,2,4.000000,0.666667
fixed_k2,5,10,dyadic,0.000000,N1|N3|N4,2.000000,3,4.000000,0.866667
fixed_k2,5,11,triadic,2.000000,N3|N4,2.000000,2,4.000000,0.866667
fixed_k2,5,12,triadic,1.415037,N1|N2,2.000000,2,4.000000,0.766667
fixed_k2,5,13,dyadic,0.000000,N2|N4,2.000000,2,4.000000,0.866667
fixed_k2,5,14,triadic,1.000000,N0|N4,2.000000,2,4.000000,0.900000
fixed_k2,5,15,triadic,1.415037,N2|N4,2.000000,2,4.000000,0.766667
fixed_k2,5,16,triadic,1.245112,N0|N4,2.000000,2,4.000000,0.866667
fixed_k2,5,17,triadic,1.000000,N0|N3|N4,2.000000,3,4.000000,0.666667
fixed_k2,5,18,triadic,1.000000,N0|N2,2.000000,2,4.000000,0.333333
fixed_k2,5,19,triadic,1.415037,N2|N3,2.000000,2,4.000000,0.400000
fixed_k3,5,0,triadic,3.000000,N2|N3|N4,6.000000,3,6.000000,1.000000
fixed_k3,5,1,triadic,2.000000,N0|N1|N2|N3,5.000000,4,6.000000,1.000000
fixed_k3,5,2,triadic,1.000000,N0|N3|N4,6.000000,3,6.000000,0.900000
fixed_k3,5,3,triadic,5.000000,N1|N3|N4,6.000000,3,6.000000,0.900000
fixed_k3,5,4,triadic,1.000000,N0|N2|N3,6.000000,3,6.000000,0.900000
fixed_k3,5,5,triadic,1.000000,N1|N2|N4,6.000000,3,6.000000,0.900000
fixed_k3,5,6,triadic,1.000000,N0|N2|N4,6.000000,3,6.000000,1.000000
fixed_k3,5,7,triadic,2.000000,N0|N1|N3|N4,5.000000,4,6.000000,1.000000
fixed_k3,5,8,triadic,5.000000,N0|N1|N4,6.000000,3,6.000000,0.900000
fixed_k3,5,9,triadic,9.000000,N0|N1|N2|N3|N4,9.000000,5,6.000000,1.000000
fixed_k3,5,10,triadic,3.000000,N1|N2|N4,6.000000,3,6.000000,0.900000
