group,seed_idx,n_flip,flip_rate,any_flip,seed_triadic,seed_p
near_residual,279,9,0.750000,1,0,0.721319
near_residual,295,4,0.333333,1,1,0.359993
near_residual,317,5,0.416667,1,1,0.456329
near_residual,369,9,0.750000,1,0,0.721319
near_residual,370,4,0.333333,1,1,0.359993
near_residual,375,9,0.750000,1,0,0.721319
near_residual,378,7,0.583333,1,1,0.456329
near_residual,380,7,0.583333,1,1,0.456329
near_residual,381,4,0.333333,1,1,0.359993
near_residual,423,7,0.583333,1,1,0.456329
near_residual,429,5,0.416667,1,1,0.456329
near_residual,455,7,0.583333,1,1,0.456329
near_residual,467,5,0.416667,1,1,0.456329
near_residual,471,4,0.333333,1,1,0.359993
near_residual,474,5,0.416667,1,1,0.456329
near_residual,478,4,0.333333,1,1,0.359993
near_residual,493,4,0.333333,1,1,0.359993
near_residual,533,7,0.583333,1,0,0.541429
near_residual,535,4,0.333333,1,1,0.359993
near_residual,554,5,0.416667,1,1,0.456329
near_residual,555,4,0.333333,1,1,0.359993
near_residual,556,5,0.416667,1,1,0.456329
near_residual,557,4,0.333333,1,1,0.359993
near_residual,562,6,0.500000,1,0,0.541429
near_residual,573,7,0.583333,1,1,0.456329
near_residual,581,6,0.500000,1,0,0.541429
near_residual,599,5,0.416667,1,1,0.456329
near_residual,605,7,0.583333,1,1,0.456329
near_residual,627,6,0.500000,1,0,0.541429
near_residual,643,7,0.583333,1,1,0.456329
near_residual,647,4,0.333333,1,1,0.359993
near_residual,648,4,0.333333,1,1,0.359993
near_residual,650,7,0.583333,1,1,0.456329
near_residual,683,7,0.583333,1,0,0.541429
near_residual,686,6,0.500000,1,0,0.541429
near_residual,711,5,0.416667,1,1,0.456329
near_residual,712,7,0.583333,1,0,0.541429
near_residual,732,7,0.583333,1,0,0.541429
near_residual,733,4,0.333333,1,1,0.359993
near_residual,788,7,0.583333,1,0,0.541429
near_residual,795,5,0.416667,1,1,0.456329
near_residual,804,6,0.500000,1,0,0.541429
near_residual,811,7,0.583333,1,1,0.456329
near_residual,839,6,0.500000,1,0,0.541429
near_residual,840,7,0.583333,1,1,0.456329
near_residual,882,5,0.416667,1,1,0.456329
near_residual,893,7,0.583333,1,0,0.541429
near_residual,903,7,0.583333,1,0,0.541429
near_residual,904,5,0.416667,1,1,0.456329
near_residual,946,7,0.583333,1,1,0.456329
near_residual,957,6,0.500000,1,0,0.541429
near_residual,977,6,0.500000,1,0,0.541429
near_residual,993,7,0.583333,1,0,0.541429
near_residual,1059,6,0.500000,1,0,0.541429
near_residual,1079,6,0.500000,1,0,0.541429
near_residual,1105,7,0.583333,1,0,0.541429
near_residual,1108,6,0.500000,1,0,0.541429
near_residual,1137,4,0.333333,1,1,0.438901
near_residual,1144,4,0.333333,1,1,0.438901
near_residual,1160,4,0.333333,1,1,0.438901
