group,seed_idx,seed_triadic,seed_phi,seed_p,node,bit,neigh_triadic,neigh_phi,flipped
near_residual,279,0,0.000000,0.721319,0,0,0,0.000000,0
near_residual,279,0,0.000000,0.721319,0,1,1,0.830075,1
near_residual,279,0,0.000000,0.721319,0,2,1,0.830075,1
near_residual,279,0,0.000000,0.721319,0,3,1,0.830075,1
near_residual,279,0,0.000000,0.721319,1,0,0,0.000000,0
near_residual,279,0,0.000000,0.721319,1,1,1,0.830075,1
near_residual,279,0,0.000000,0.721319,1,2,1,0.830075,1
near_residual,279,0,0.000000,0.721319,1,3,1,0.830075,1
near_residual,279,0,0.000000,0.721319,2,0,1,0.830075,1
near_residual,279,0,0.000000,0.721319,2,1,1,0.415037,1
near_residual,279,0,0.000000,0.721319,2,2,1,0.415037,1
near_residual,279,0,0.000000,0.721319,2,3,0,0.000000,0
near_residual,295,1,0.830075,0.359993,0,0,0,0.000000,1
near_residual,295,1,0.830075,0.359993,0,1,1,1.000000,0
near_residual,295,1,0.830075,0.359993,0,2,1,0.415037,0
near_residual,295,1,0.830075,0.359993,0,3,1,0.830075,0
near_residual,295,1,0.830075,0.359993,1,0,1,0.830075,0
near_residual,295,1,0.830075,0.359993,1,1,0,0.000000,1
near_residual,295,1,0.830075,0.359993,1,2,1,0.830075,0
near_residual,295,1,0.830075,0.359993,1,3,1,0.830075,0
near_residual,295,1,0.830075,0.359993,2,0,1,0.830075,0
near_residual,295,1,0.830075,0.359993,2,1,1,0.415037,0
near_residual,295,1,0.830075,0.359993,2,2,0,0.000000,1
near_residual,295,1,0.830075,0.359993,2,3,0,0.000000,1
near_residual,317,1,0.415037,0.456329,0,0,0,0.000000,1
near_residual,317,1,0.415037,0.456329,0,1,0,0.000000,1
near_residual,317,1,0.415037,0.456329,0,2,1,2.000000,0
near_residual,317,1,0.415037,0.456329,0,3,1,0.415037,0
near_residual,317,1,0.415037,0.456329,1,0,1,0.830075,0
near_residual,317,1,0.415037,0.456329,1,1,1,0.830075,0
near_residual,317,1,0.415037,0.456329,1,2,1,0.830075,0
near_residual,317,1,0.415037,0.456329,1,3,0,0.000000,1
near_residual,317,1,0.415037,0.456329,2,0,0,0.000000,1
near_residual,317,1,0.415037,0.456329,2,1,0,0.000000,1
near_residual,317,1,0.415037,0.456329,2,2,1,0.415037,0
near_residual,317,1,0.415037,0.456329,2,3,1,0.415037,0
near_residual,369,0,0.000000,0.721319,0,0,0,0.000000,0
near_residual,369,0,0.000000,0.721319,0,1,1,0.830075,1
near_residual,369,0,0.000000,0.721319,0,2,1,0.830075,1
near_residual,369,0,0.000000,0.721319,0,3,1,0.830075,1
near_residual,369,0,0.000000,0.721319,1,0,1,0.830075,1
near_residual,369,0,0.000000,0.721319,1,1,1,0.415037,1
near_residual,369,0,0.000000,0.721319,1,2,1,0.415037,1
near_residual,369,0,0.000000,0.721319,1,3,0,0.000000,0
near_residual,369,0,0.000000,0.721319,2,0,0,0.000000,0
near_residual,369,0,0.000000,0.721319,2,1,1,0.830075,1
near_residual,369,0,0.000000,0.721319,2,2,1,0.830075,1
near_residual,369,0,0.000000,0.721319,2,3,1,0.830075,1
near_residual,370,1,0.830075,0.359993,0,0,0,0.000000,1
near_residual,370,1,0.830075,0.359993,0,1,1,0.415037,0
near_residual,370,1,0.830075,0.359993,0,2,1,1.000000,0
near_residual,370,1,0.830075,0.359993,0,3,1,0.830075,0
near_residual,370,1,0.830075,0.359993,1,0,1,0.830075,0
near_residual,370,1,0.830075,0.359993,1,1,1,0.415037,0
near_residual,370,1,0.830075,0.359993,1,2,0,0.000000,1
near_residual,370,1,0.830075,0.359993,1,3,0,0.000000,1
near_residual,370,1,0.830075,0.359993,2,0,1,0.830075,0
near_residual,370,1,0.830075,0.359993,2,1,0,0.000000,1
near_residual,370,1,0.830075,0.359993,2,2,1,0.830075,0
near_residual,370,1,0.830075,0.359993,2,3,1,0.830075,0
near_residual,375,0,0.000000,0.721319,0,0,0,0.000000,0
near_residual,375,0,0.000000,0.721319,0,1,1,0.415037,1
near_residual,375,0,0.000000,0.721319,0,2,1,0.415037,1
near_residual,375,0,0.000000,0.721319,0,3,1,0.830075,1
near_residual,375,0,0.000000,0.721319,1,0,1,0.830075,1
near_residual,375,0,0.000000,0.721319,1,1,1,0.830075,1
near_residual,375,0,0.000000,0.721319,1,2,1,0.830075,1
near_residual,375,0,0.000000,0.721319,1,3,0,0.000000,0
near_residual,375,0,0.000000,0.721319,2,0,1,0.830075,1
near_residual,375,0,0.000000,0.721319,2,1,1,0.830075,1
near_residual,375,0,0.000000,0.721319,2,2,1,0.830075,1
