universe,group,seed_idx,n_flip,n_neigh,flip_rate,any_flip,tri_to_dya,dya_to_tri,seed_triadic,seed_p,near_boundary
n4,residual,25,6,16,0.375000,1,0,6,0,0.996250,0
n4,residual,29,8,16,0.500000,1,0,8,0,0.982500,0
n4,residual,46,5,16,0.312500,1,0,5,0,0.689045,1
n4,residual,74,7,16,0.437500,1,0,7,0,0.731167,1
n4,residual,93,6,16,0.375000,1,0,6,0,0.619971,1
n4,residual,116,7,16,0.437500,1,7,0,1,0.264307,1
n4,residual,119,4,16,0.250000,1,0,4,0,0.634292,1
n4,residual,122,5,16,0.312500,1,5,0,1,0.064479,0
n4,residual,125,3,16,0.187500,1,0,3,0,0.985435,0
n4,residual,130,6,16,0.375000,1,0,6,0,0.619971,1
n4,residual,159,5,16,0.312500,1,0,5,0,0.830160,0
n4,residual,160,6,16,0.375000,1,6,0,1,0.006250,0
n4,residual,177,8,16,0.500000,1,8,0,1,0.497713,1
n4,residual,179,6,16,0.375000,1,0,6,0,0.925170,0
n4,residual,190,8,16,0.500000,1,8,0,1,0.090958,0
n4,residual,194,7,16,0.437500,1,7,0,1,0.007500,0
n4,residual,197,7,16,0.437500,1,7,0,1,0.064479,0
n4,residual,201,4,16,0.250000,1,0,4,0,0.862271,0
n4,residual,217,7,16,0.437500,1,7,0,1,0.124750,0
n4,residual,220,8,16,0.500000,1,8,0,1,0.334823,1
n4,residual,221,7,16,0.437500,1,7,0,1,0.438411,1
n4,residual,227,4,16,0.250000,1,4,0,1,0.260000,1
n4,residual,233,8,16,0.500000,1,8,0,1,0.308250,1
n4,residual,244,5,16,0.312500,1,5,0,1,0.334823,1
n4,residual,268,4,16,0.250000,1,0,4,0,0.628798,1
n4,residual,292,6,16,0.375000,1,0,6,0,0.828704,0
n4,residual,302,3,16,0.187500,1,0,3,0,0.551015,1
n4,residual,319,3,16,0.187500,1,0,3,0,0.628798,1
n4,residual,341,6,16,0.375000,1,0,6,0,0.930000,0
n4,residual,356,6,16,0.375000,1,6,0,1,0.076250,0
n4,residual,376,8,16,0.500000,1,8,0,1,0.257917,1
n4,residual,387,9,16,0.562500,1,0,9,0,0.555024,1
n4,residual,390,7,16,0.437500,1,0,7,0,0.551015,1
n4,residual,401,6,16,0.375000,1,0,6,0,0.912958,0
n4,residual,431,5,16,0.312500,1,0,5,0,0.912417,0
n4,residual,437,8,16,0.500000,1,8,0,1,0.399015,1
n4,residual,477,6,16,0.375000,1,0,6,0,0.555099,1
n4,residual,501,7,16,0.437500,1,0,7,0,0.744779,1
n4,residual,526,4,16,0.250000,1,4,0,1,0.499158,1
n4,residual,540,6,16,0.375000,1,0,6,0,0.840000,0
n4,residual,570,7,16,0.437500,1,7,0,1,0.330256,1
n4,residual,584,9,16,0.562500,1,9,0,1,0.446304,1
n4,residual,585,5,16,0.312500,1,0,5,0,0.819790,0
n4,residual,588,5,16,0.312500,1,0,5,0,0.527063,1
n4,residual,596,8,16,0.500000,1,8,0,1,0.113938,0
n4,residual,598,2,16,0.125000,1,0,2,0,0.986250,0
n4,residual,601,7,16,0.437500,1,7,0,1,0.154304,0
n4,residual,602,6,16,0.375000,1,6,0,1,0.380000,1
n4,residual,605,4,16,0.250000,1,0,4,0,0.612500,1
n4,residual,616,5,16,0.312500,1,0,5,0,0.829672,0
n4,residual,617,8,16,0.500000,1,8,0,1,0.185417,0
n4,residual,625,6,16,0.375000,1,6,0,1,0.154304,0
n4,residual,627,5,16,0.312500,1,0,5,0,0.829672,0
n4,residual,631,5,16,0.312500,1,0,5,0,0.955071,0
n4,residual,648,6,16,0.375000,1,6,0,1,0.247682,0
n4,residual,677,7,16,0.437500,1,7,0,1,0.446304,1
n4,residual,711,5,16,0.312500,1,5,0,1,0.392500,1
n4,residual,720,5,16,0.312500,1,0,5,0,0.748504,1
n4,residual,729,6,16,0.375000,1,6,0,1,0.382595,1
n4,residual,743,8,16,0.500000,1,0,8,0,0.998750,0
n4,residual,760,6,16,0.375000,1,6,0,1,0.446917,1
n4,residual,773,6,16,0.375000,1,0,6,0,0.856250,0
n4,residual,809,6,16,0.375000,1,6,0,1,0.377205,1
n4,residual,842,6,16,0.375000,1,0,6,0,0.743834,1
n4,residual,857,2,16,0.125000,1,0,2,0,0.980000,0
n4,residual,860,6,16,0.375000,1,0,6,0,0.524132,1
n4,residual,886,5,16,0.312500,1,0,5,0,0.666971,1
n4,residual,892,7,16,0.437500,1,0,7,0,0.919938,0
n4,residual,912,4,16,0.250000,1,0,4,0,0.707459,1
n4,residual,949,8,16,0.500000,1,0,8,0,0.727918,1
n4,residual,961,3,16,0.187500,1,0,3,0,0.569458,1
n4,residual,965,6,16,0.375000,1,0,6,0,0.666971,1
n4,residual,969,5,16,0.312500,1,0,5,0,0.815151,0
n4,residual,972,5,16,0.312500,1,0,5,0,0.743137,1
n4,residual,992,10,16,0.625000,1,0,10,0,0.503424,1
n4,near_hit_control,2,8,16,0.500000,1,8,0,1,0.722292,1
n4,near_hit_control,24,7,16,0.437500,1,7,0,1,0.695000,1
n4,near_hit_control,94,8,16,0.500000,1,8,0,1,0.568577,1
n4,near_hit_control,103,7,16,0.437500,1,7,0,1,0.748458,1
n4,near_hit_control,134,7,16,0.437500,1,7,0,1,0.619971,1
n4,near_hit_control,218,4,16,0.250000,1,4,0,1,0.680580,1
n4,near_hit_control,225,9,16,0.562500,1,9,0,1,0.531652,1
n4,near_hit_control,231,5,16,0.312500,1,0,5,0,0.357222,1
n4,near_hit_control,251,4,16,0.250000,1,0,4,0,0.353458,1
n4,near_hit_control,282,7,16,0.437500,1,7,0,1,0.531652,1
n4,near_hit_control,314,4,16,0.250000,1,4,0,1,0.703425,1
n4,near_hit_control,328,8,16,0.500000,1,8,0,1,0.538958,1
n4,near_hit_control,344,6,16,0.375000,1,6,0,1,0.628798,1
n4,near_hit_control,345,5,16,0.312500,1,0,5,0,0.431738,1
n4,near_hit_control,362,6,16,0.375000,1,6,0,1,0.551015,1
n4,near_hit_control,404,7,16,0.437500,1,7,0,1,0.591562,1
n4,near_hit_control,438,7,16,0.437500,1,7,0,1,0.602095,1
n4,near_hit_control,443,4,16,0.250000,1,4,0,1,0.555099,1
n4,near_hit_control,444,6,16,0.375000,1,6,0,1,0.535512,1
n4,near_hit_control,452,6,16,0.375000,1,0,6,0,0.412238,1
n4,near_hit_control,457,5,16,0.312500,1,5,0,1,0.738542,1
n4,near_hit_control,524,6,16,0.375000,1,0,6,0,0.318500,1
n4,near_hit_control,579,5,16,0.312500,1,0,5,0,0.343988,1
n4,near_hit_control,663,5,16,0.312500,1,5,0,1,0.740000,1
n4,near_hit_control,690,7,16,0.437500,1,7,0,1,0.548042,1
n4,near_hit_control,718,8,16,0.500000,1,8,0,1,0.620000,1
n4,near_hit_control,759,7,16,0.437500,1,7,0,1,0.710446,1
n4,near_hit_control,775,6,16,0.375000,1,6,0,1,0.503424,1
n4,near_hit_control,796,8,16,0.500000,1,8,0,1,0.611120,1
n4,near_hit_control,801,8,16,0.500000,1,8,0,1,0.557542,1
n4,near_hit_control,804,8,16,0.500000,1,8,0,1,0.732500,1
n4,near_hit_control,830,6,16,0.375000,1,0,6,0,0.354625,1
n4,near_hit_control,845,6,16,0.375000,1,6,0,1,0.699381,1
n4,near_hit_control,862,3,16,0.187500,1,3,0,1,0.548923,1
n4,near_hit_control,878,6,16,0.375000,1,6,0,1,0.703175,1
n4,near_hit_control,897,5,16,0.312500,1,0,5,0,0.321417,1
n4,near_hit_control,900,7,16,0.437500,1,7,0,1,0.503424,1
n4,near_hit_control,919,9,16,0.562500,1,9,0,1,0.548923,1
n4,near_hit_control,927,7,16,0.437500,1,7,0,1,0.707459,1
n4,near_hit_control,967,4,16,0.250000,1,0,4,0,0.345000,1
n4,far_hit_control,741,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,505,7,16,0.437500,1,7,0,1,1.000000,0
n4,far_hit_control,131,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,993,3,16,0.187500,1,0,3,0,0.000000,0
n4,far_hit_control,784,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,85,0,16,0.000000,0,0,0,0,0.010000,0
n4,far_hit_control,613,3,16,0.187500,1,3,0,1,0.979146,0
n4,far_hit_control,818,2,16,0.125000,1,0,2,0,0.000000,0
n4,far_hit_control,27,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,948,4,16,0.250000,1,4,0,1,1.000000,0
n4,far_hit_control,305,4,16,0.250000,1,4,0,1,1.000000,0
n4,far_hit_control,213,4,16,0.250000,1,0,4,0,0.000000,0
n4,far_hit_control,865,4,16,0.250000,1,0,4,0,0.000000,0
n4,far_hit_control,312,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,164,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,946,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,942,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,295,1,16,0.062500,1,0,1,0,0.000000,0
n4,far_hit_control,659,6,16,0.375000,1,0,6,0,0.000000,0
n4,far_hit_control,667,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,951,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,708,0,16,0.000000,0,0,0,0,0.000000,0
n4,far_hit_control,66,5,16,0.312500,1,5,0,1,0.934333,0
n4,far_hit_control,914,0,16,0.000000,0,0,0,0,0.000000,0
