group,seed_idx,seed_triadic,seed_phi,seed_p,node,bit,neigh_triadic,neigh_phi,flipped
residual,25,0,0.000000,0.996250,0,0,0,0.000000,0
residual,25,0,0.000000,0.996250,0,1,0,0.000000,0
residual,25,0,0.000000,0.996250,0,2,1,2.000000,1
residual,25,0,0.000000,0.996250,0,3,1,2.000000,1
residual,25,0,0.000000,0.996250,1,0,0,0.000000,0
residual,25,0,0.000000,0.996250,1,1,0,0.000000,0
residual,25,0,0.000000,0.996250,1,2,0,0.000000,0
residual,25,0,0.000000,0.996250,1,3,0,0.000000,0
residual,25,0,0.000000,0.996250,2,0,1,0.415037,1
residual,25,0,0.000000,0.996250,2,1,0,0.000000,0
residual,25,0,0.000000,0.996250,2,2,1,0.830075,1
residual,25,0,0.000000,0.996250,2,3,0,0.000000,0
residual,25,0,0.000000,0.996250,3,0,1,1.000000,1
residual,25,0,0.000000,0.996250,3,1,0,0.000000,0
residual,25,0,0.000000,0.996250,3,2,1,1.000000,1
residual,25,0,0.000000,0.996250,3,3,0,0.000000,0
residual,29,0,0.000000,0.982500,0,0,0,0.000000,0
residual,29,0,0.000000,0.982500,0,1,0,0.000000,0
residual,29,0,0.000000,0.982500,0,2,1,0.830075,1
residual,29,0,0.000000,0.982500,0,3,1,0.830075,1
residual,29,0,0.000000,0.982500,1,0,0,0.000000,0
residual,29,0,0.000000,0.982500,1,1,1,0.415037,1
residual,29,0,0.000000,0.982500,1,2,0,0.000000,0
residual,29,0,0.000000,0.982500,1,3,1,0.830075,1
residual,29,0,0.000000,0.982500,2,0,0,0.000000,0
residual,29,0,0.000000,0.982500,2,1,0,0.000000,0
residual,29,0,0.000000,0.982500,2,2,0,0.000000,0
residual,29,0,0.000000,0.982500,2,3,1,0.830075,1
residual,29,0,0.000000,0.982500,3,0,1,0.830075,1
residual,29,0,0.000000,0.982500,3,1,1,0.830075,1
residual,29,0,0.000000,0.982500,3,2,0,0.000000,0
residual,29,0,0.000000,0.982500,3,3,1,0.830075,1
residual,46,0,0.000000,0.689045,0,0,1,0.415037,1
residual,46,0,0.000000,0.689045,0,1,0,0.000000,0
residual,46,0,0.000000,0.689045,0,2,1,0.830075,1
residual,46,0,0.000000,0.689045,0,3,0,0.000000,0
residual,46,0,0.000000,0.689045,1,0,0,0.000000,0
residual,46,0,0.000000,0.689045,1,1,0,0.000000,0
residual,46,0,0.000000,0.689045,1,2,0,0.000000,0
residual,46,0,0.000000,0.689045,1,3,1,1.000000,1
residual,46,0,0.000000,0.689045,2,0,0,0.000000,0
residual,46,0,0.000000,0.689045,2,1,1,2.000000,1
residual,46,0,0.000000,0.689045,2,2,0,0.000000,0
residual,46,0,0.000000,0.689045,2,3,1,2.000000,1
residual,46,0,0.000000,0.689045,3,0,0,0.000000,0
residual,46,0,0.000000,0.689045,3,1,0,0.000000,0
residual,46,0,0.000000,0.689045,3,2,0,0.000000,0
residual,46,0,0.000000,0.689045,3,3,0,0.000000,0
residual,74,0,0.000000,0.731167,0,0,0,0.000000,0
residual,74,0,0.000000,0.731167,0,1,0,0.000000,0
residual,74,0,0.000000,0.731167,0,2,0,0.000000,0
residual,74,0,0.000000,0.731167,0,3,0,0.000000,0
residual,74,0,0.000000,0.731167,1,0,1,0.830075,1
residual,74,0,0.000000,0.731167,1,1,1,0.415037,1
residual,74,0,0.000000,0.731167,1,2,0,0.000000,0
residual,74,0,0.000000,0.731167,1,3,0,0.000000,0
residual,74,0,0.000000,0.731167,2,0,0,0.000000,0
residual,74,0,0.000000,0.731167,2,1,0,0.000000,0
residual,74,0,0.000000,0.731167,2,2,1,0.415037,1
residual,74,0,0.000000,0.731167,2,3,1,0.415037,1
residual,74,0,0.000000,0.731167,3,0,1,0.830075,1
residual,74,0,0.000000,0.731167,3,1,1,0.830075,1
residual,74,0,0.000000,0.731167,3,2,0,0.000000,0
residual,74,0,0.000000,0.731167,3,3,1,0.415037,1
residual,93,0,0.000000,0.619971,0,0,0,0.000000,0
residual,93,0,0.000000,0.619971,0,1,0,0.000000,0
residual,93,0,0.000000,0.619971,0,2,0,0.000000,0
residual,93,0,0.000000,0.619971,0,3,0,0.000000,0
residual,93,0,0.000000,0.619971,1,0,0,0.000000,0
residual,93,0,0.000000,0.619971,1,1,0,0.000000,0
residual,93,0,0.000000,0.619971,1,2,1,0.415037,1
residual,93,0,0.000000,0.619971,1,3,1,0.830075,1
residual,93,0,0.000000,0.619971,2,0,0,0.000000,0
residual,93,0,0.000000,0.619971,2,1,0,0.000000,0
residual,93,0,0.000000,0.619971,2,2,1,0.415037,1
residual,93,0,0.000000,0.619971,2,3,1,0.830075,1
residual,93,0,0.000000,0.619971,3,0,1,1.000000,1
residual,93,0,0.000000,0.619971,3,1,0,0.000000,0
residual,93,0,0.000000,0.619971,3,2,1,0.415037,1
residual,93,0,0.000000,0.619971,3,3,0,0.000000,0
residual,116,1,0.830075,0.264307,0,0,1,0.830075,0
residual,116,1,0.830075,0.264307,0,1,1,0.415037,0
residual,116,1,0.830075,0.264307,0,2,0,0.000000,1
residual,116,1,0.830075,0.264307,0,3,0,0.000000,1
residual,116,1,0.830075,0.264307,1,0,0,0.000000,1
residual,116,1,0.830075,0.264307,1,1,0,0.000000,1
residual,116,1,0.830075,0.264307,1,2,1,2.000000,0
residual,116,1,0.830075,0.264307,1,3,1,2.000000,0
residual,116,1,0.830075,0.264307,2,0,0,0.000000,1
residual,116,1,0.830075,0.264307,2,1,0,0.000000,1
residual,116,1,0.830075,0.264307,2,2,1,0.415037,0
residual,116,1,0.830075,0.264307,2,3,1,0.415037,0
residual,116,1,0.830075,0.264307,3,0,1,0.830075,0
residual,116,1,0.830075,0.264307,3,1,1,0.415037,0
residual,116,1,0.830075,0.264307,3,2,0,0.000000,1
residual,116,1,0.830075,0.264307,3,3,1,0.415037,0
residual,119,0,0.000000,0.634292,0,0,1,1.000000,1
residual,119,0,0.000000,0.634292,0,1,0,0.000000,0
residual,119,0,0.000000,0.634292,0,2,0,0.000000,0
residual,119,0,0.000000,0.634292,0,3,0,0.000000,0
residual,119,0,0.000000,0.634292,1,0,0,0.000000,0
residual,119,0,0.000000,0.634292,1,1,1,0.830075,1
residual,119,0,0.000000,0.634292,1,2,0,0.000000,0
residual,119,0,0.000000,0.634292,1,3,0,0.000000,0
residual,119,0,0.000000,0.634292,2,0,0,0.000000,0
residual,119,0,0.000000,0.634292,2,1,0,0.000000,0
residual,119,0,0.000000,0.634292,2,2,0,0.000000,0
residual,119,0,0.000000,0.634292,2,3,0,0.000000,0
residual,119,0,0.000000,0.634292,3,0,1,2.000000,1
residual,119,0,0.000000,0.634292,3,1,1,2.000000,1
residual,119,0,0.000000,0.634292,3,2,0,0.000000,0
residual,119,0,0.000000,0.634292,3,3,0,0.000000,0
residual,122,1,0.830075,0.064479,0,0,1,1.000000,0
residual,122,1,0.830075,0.064479,0,1,0,0.000000,1
residual,122,1,0.830075,0.064479,0,2,1,0.830075,0
residual,122,1,0.830075,0.064479,0,3,1,0.415037,0
residual,122,1,0.830075,0.064479,1,0,0,0.000000,1
residual,122,1,0.830075,0.064479,1,1,1,0.415037,0
residual,122,1,0.830075,0.064479,1,2,0,0.000000,1
residual,122,1,0.830075,0.064479,1,3,1,0.415037,0
residual,122,1,0.830075,0.064479,2,0,1,0.830075,0
residual,122,1,0.830075,0.064479,2,1,1,0.830075,0
residual,122,1,0.830075,0.064479,2,2,1,0.830075,0
residual,122,1,0.830075,0.064479,2,3,1,0.830075,0
residual,122,1,0.830075,0.064479,3,0,0,0.000000,1
residual,122,1,0.830075,0.064479,3,1,0,0.000000,1
residual,122,1,0.830075,0.064479,3,2,1,0.415037,0
residual,122,1,0.830075,0.064479,3,3,1,0.830075,0
residual,125,0,0.000000,0.985435,0,0,0,0.000000,0
residual,125,0,0.000000,0.985435,0,1,0,0.000000,0
residual,125,0,0.000000,0.985435,0,2,0,0.000000,0
residual,125,0,0.000000,0.985435,0,3,0,0.000000,0
residual,125,0,0.000000,0.985435,1,0,0,0.000000,0
residual,125,0,0.000000,0.985435,1,1,0,0.000000,0
residual,125,0,0.000000,0.985435,1,2,0,0.000000,0
residual,125,0,0.000000,0.985435,1,3,0,0.000000,0
residual,125,0,0.000000,0.985435,2,0,0,0.000000,0
residual,125,0,0.000000,0.985435,2,1,0,0.000000,0
residual,125,0,0.000000,0.985435,2,2,0,0.000000,0
residual,125,0,0.000000,0.985435,2,3,1,1.000000,1
residual,125,0,0.000000,0.985435,3,0,1,2.000000,1
residual,125,0,0.000000,0.985435,3,1,0,0.000000,0
residual,125,0,0.000000,0.985435,3,2,1,2.000000,1
residual,125,0,0.000000,0.985435,3,3,0,0.000000,0
residual,130,0,0.000000,0.619971,0,0,1,0.415037,1
residual,130,0,0.000000,0.619971,0,1,1,0.830075,1
residual,130,0,0.000000,0.619971,0,2,0,0.000000,0
residual,130,0,0.000000,0.619971,0,3,0,0.000000,0
residual,130,0,0.000000,0.619971,1,0,0,0.000000,0
residual,130,0,0.000000,0.619971,1,1,1,0.415037,1
residual,130,0,0.000000,0.619971,1,2,0,0.000000,0
residual,130,0,0.000000,0.619971,1,3,1,2.000000,1
residual,130,0,0.000000,0.619971,2,0,1,0.830075,1
residual,130,0,0.000000,0.619971,2,1,0,0.000000,0
residual,130,0,0.000000,0.619971,2,2,1,0.830075,1
residual,130,0,0.000000,0.619971,2,3,0,0.000000,0
residual,130,0,0.000000,0.619971,3,0,0,0.000000,0
residual,130,0,0.000000,0.619971,3,1,0,0.000000,0
residual,130,0,0.000000,0.619971,3,2,0,0.000000,0
residual,130,0,0.000000,0.619971,3,3,0,0.000000,0
residual,159,0,0.000000,0.830160,0,0,1,0.830075,1
residual,159,0,0.000000,0.830160,0,1,1,0.166015,1
residual,159,0,0.000000,0.830160,0,2,0,0.000000,0
residual,159,0,0.000000,0.830160,0,3,0,0.000000,0
residual,159,0,0.000000,0.830160,1,0,0,0.000000,0
residual,159,0,0.000000,0.830160,1,1,0,0.000000,0
residual,159,0,0.000000,0.830160,1,2,0,0.000000,0
residual,159,0,0.000000,0.830160,1,3,0,0.000000,0
residual,159,0,0.000000,0.830160,2,0,0,0.000000,0
residual,159,0,0.000000,0.830160,2,1,0,0.000000,0
residual,159,0,0.000000,0.830160,2,2,0,0.000000,0
residual,159,0,0.000000,0.830160,2,3,1,0.415037,1
residual,159,0,0.000000,0.830160,3,0,0,0.000000,0
residual,159,0,0.000000,0.830160,3,1,0,0.000000,0
residual,159,0,0.000000,0.830160,3,2,1,2.000000,1
residual,159,0,0.000000,0.830160,3,3,1,2.000000,1
residual,160,1,0.415037,0.006250,0,0,0,0.000000,1
residual,160,1,0.415037,0.006250,0,1,1,0.500000,0
residual,160,1,0.415037,0.006250,0,2,0,0.000000,1
residual,160,1,0.415037,0.006250,0,3,0,0.000000,1
residual,160,1,0.415037,0.006250,1,0,0,0.000000,1
residual,160,1,0.415037,0.006250,1,1,1,2.000000,0
residual,160,1,0.415037,0.006250,1,2,0,0.000000,1
residual,160,1,0.415037,0.006250,1,3,1,2.000000,0
residual,160,1,0.415037,0.006250,2,0,1,0.415037,0
residual,160,1,0.415037,0.006250,2,1,1,0.415037,0
residual,160,1,0.415037,0.006250,2,2,1,0.830075,0
residual,160,1,0.415037,0.006250,2,3,0,0.000000,1
residual,160,1,0.415037,0.006250,3,0,1,0.415037,0
residual,160,1,0.415037,0.006250,3,1,1,0.830075,0
residual,160,1,0.415037,0.006250,3,2,1,0.830075,0
residual,160,1,0.415037,0.006250,3,3,1,0.415037,0
residual,177,1,0.830075,0.497713,0,0,1,0.830075,0
residual,177,1,0.830075,0.497713,0,1,0,0.000000,1
residual,177,1,0.830075,0.497713,0,2,1,0.415037,0
residual,177,1,0.830075,0.497713,0,3,1,0.415037,0
residual,177,1,0.830075,0.497713,1,0,1,0.830075,0
residual,177,1,0.830075,0.497713,1,1,1,0.830075,0
residual,177,1,0.830075,0.497713,1,2,0,0.000000,1
residual,177,1,0.830075,0.497713,1,3,0,0.000000,1
residual,177,1,0.830075,0.497713,2,0,1,0.830075,0
residual,177,1,0.830075,0.497713,2,1,0,0.000000,1
residual,177,1,0.830075,0.497713,2,2,1,0.415037,0
residual,177,1,0.830075,0.497713,2,3,0,0.000000,1
residual,177,1,0.830075,0.497713,3,0,0,0.000000,1
residual,177,1,0.830075,0.497713,3,1,0,0.000000,1
residual,177,1,0.830075,0.497713,3,2,0,0.000000,1
residual,177,1,0.830075,0.497713,3,3,1,0.830075,0
residual,179,0,0.000000,0.925170,0,0,0,0.000000,0
residual,179,0,0.000000,0.925170,0,1,1,0.830075,1
residual,179,0,0.000000,0.925170,0,2,0,0.000000,0
residual,179,0,0.000000,0.925170,0,3,1,0.415037,1
residual,179,0,0.000000,0.925170,1,0,1,0.830075,1
residual,179,0,0.000000,0.925170,1,1,0,0.000000,0
residual,179,0,0.000000,0.925170,1,2,1,0.830075,1
residual,179,0,0.000000,0.925170,1,3,0,0.000000,0
residual,179,0,0.000000,0.925170,2,0,1,0.415037,1
residual,179,0,0.000000,0.925170,2,1,1,0.830075,1
residual,179,0,0.000000,0.925170,2,2,0,0.000000,0
residual,179,0,0.000000,0.925170,2,3,0,0.000000,0
residual,179,0,0.000000,0.925170,3,0,0,0.000000,0
residual,179,0,0.000000,0.925170,3,1,0,0.000000,0
residual,179,0,0.000000,0.925170,3,2,0,0.000000,0
residual,179,0,0.000000,0.925170,3,3,0,0.000000,0
residual,190,1,0.415037,0.090958,0,0,1,0.830075,0
residual,190,1,0.415037,0.090958,0,1,1,0.415037,0
residual,190,1,0.415037,0.090958,0,2,1,0.415037,0
residual,190,1,0.415037,0.090958,0,3,0,0.000000,1
residual,190,1,0.415037,0.090958,1,0,0,0.000000,1
residual,190,1,0.415037,0.090958,1,1,1,0.830075,0
