family,name,omit,cycles,recip,band,structure,whole_phi_mip,core,core_phi,n_core,mean_degree,clustering
same_indeg,"cyc(2,)_r1_0_designed",1|0|0|2|3|4,"(2,)",1,BAND8,triadic,3.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,0.933333
same_indeg,"cyc(2,)_r1_1_sample",1|0|5|0|2|3,"(2,)",1,BAND8,triadic,3.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,0.933333
same_indeg,"cyc(2,)_r1_2_sample",3|0|5|0|2|1,"(2,)",1,BAND8,triadic,3.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,0.933333
same_indeg,"cyc(2, 2)_r2_0_designed",1|0|0|2|5|4,"(2, 2)",2,BAND8,triadic,3.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,0.822222
same_indeg,"cyc(2, 2)_r2_1_sample",3|0|4|0|2|1,"(2, 2)",2,BAND8,triadic,3.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,0.822222
same_indeg,"cyc(2, 2)_r2_2_sample",5|2|1|0|3|0,"(2, 2)",2,BAND8,triadic,3.000000,N0|N1|N2|N4|N5,8.000000,5,8.000000,0.822222
same_indeg,"cyc(2, 3)_r1_0_designed",1|0|0|4|5|3,"(2, 3)",1,BAND9,triadic,3.000000,N0|N1|N3|N4|N5,9.000000,5,8.000000,0.933333
same_indeg,"cyc(2, 3)_r1_1_sample",5|3|5|4|1|2,"(2, 3)",1,BAND9,triadic,3.000000,N1|N2|N3|N4|N5,9.000000,5,8.000000,0.933333
same_indeg,"cyc(2, 3)_r1_2_sample",4|3|3|5|0|2,"(2, 3)",1,BAND9,triadic,3.000000,N0|N2|N3|N4|N5,9.000000,5,8.000000,0.933333
same_indeg,"cyc(3,)_r0_0_designed",1|2|0|0|3|4,"(3,)",0,BAND8,triadic,3.000000,N0|N1|N3|N4|N5,8.000000,5,8.000000,1.000000
same_indeg,"cyc(3,)_r0_1_sample",1|3|5|0|2|0,"(3,)",0,BAND8,triadic,3.000000,N0|N1|N2|N4|N5,8.000000,5,8.000000,1.000000
same_indeg,"cyc(3,)_r0_2_sample",5|4|1|0|2|2,"(3,)",0,BAND8,triadic,3.000000,N0|N1|N2|N3|N5,8.000000,5,8.000000,1.000000
same_indeg,"cyc(4,)_r0_0_designed",1|2|3|0|0|4,"(4,)",0,BAND8,triadic,3.000000,N0|N1|N2|N4|N5,8.000000,5,8.000000,1.000000
same_indeg,"cyc(4,)_r0_1_sample",4|0|5|1|2|0,"(4,)",0,BAND8,triadic,3.000000,N0|N2|N3|N4|N5,8.000000,5,8.000000,1.000000
same_indeg,"cyc(4,)_r0_2_sample",2|2|4|0|5|1,"(4,)",0,BAND8,triadic,3.000000,N1|N2|N3|N4|N5,8.000000,5,8.000000,1.000000
same_indeg,"cyc(5,)_r0_0_designed",1|2|3|4|0|0,"(5,)",0,BAND9,triadic,3.000000,N0|N1|N2|N3|N4,9.000000,5,8.000000,1.000000
same_indeg,"cyc(5,)_r0_1_sample",5|4|1|1|0|2,"(5,)",0,BAND9,triadic,3.000000,N0|N1|N2|N4|N5,9.000000,5,8.000000,1.000000
same_indeg,"cyc(5,)_r0_2_sample",2|0|4|0|5|1,"(5,)",0,BAND9,triadic,3.000000,N0|N1|N2|N4|N5,9.000000,5,8.000000,1.000000
