panel,n,noise,T,n_forms,n_tri,mi_auc,rf_auc
family_n3_noise0.08,3,0.08,125,48,24,0.972222,0.960938
family_n3_noise0.08,3,0.08,250,48,24,0.965278,0.974826
family_n3_noise0.08,3,0.08,500,48,24,0.963542,0.988715
family_n3_noise0.08,3,0.08,1000,48,24,0.958333,0.992188
family_n3_noise0.08,3,0.08,2000,48,24,0.961806,0.992188
family_n3_noise0.08,3,0.08,4000,48,24,0.967014,0.999132
hub_n3_noise0.08,3,0.08,125,8,6,0.666667,0.333333
hub_n3_noise0.08,3,0.08,250,8,6,0.750000,0.125000
hub_n3_noise0.08,3,0.08,500,8,6,0.833333,0.250000
hub_n3_noise0.08,3,0.08,1000,8,6,0.583333,0.833333
hub_n3_noise0.08,3,0.08,2000,8,6,0.500000,0.750000
hub_n3_noise0.08,3,0.08,4000,8,6,0.500000,0.833333
hub_n4_noise0.08,4,0.08,125,8,4,0.437500,0.500000
hub_n4_noise0.08,4,0.08,250,8,4,0.562500,0.531250
hub_n4_noise0.08,4,0.08,500,8,4,0.312500,0.812500
hub_n4_noise0.08,4,0.08,1000,8,4,0.312500,0.718750
hub_n4_noise0.08,4,0.08,2000,8,4,0.250000,0.812500
hub_n4_noise0.08,4,0.08,4000,8,4,0.375000,0.781250
hub_n5_noise0.08,5,0.08,125,8,4,0.562500,0.437500
hub_n5_noise0.08,5,0.08,250,8,4,0.250000,0.687500
hub_n5_noise0.08,5,0.08,500,8,4,0.312500,0.500000
hub_n5_noise0.08,5,0.08,1000,8,4,0.250000,0.875000
hub_n5_noise0.08,5,0.08,2000,8,4,0.250000,0.937500
hub_n5_noise0.08,5,0.08,4000,8,4,0.250000,0.937500
cross_n4_noise0.08,4,0.08,125,12,7,0.200000,0.485714
cross_n4_noise0.08,4,0.08,250,12,7,0.285714,0.685714
cross_n4_noise0.08,4,0.08,500,12,7,0.114286,0.771429
cross_n4_noise0.08,4,0.08,1000,12,7,0.171429,0.771429
cross_n4_noise0.08,4,0.08,2000,12,7,0.200000,0.828571
cross_n4_noise0.08,4,0.08,4000,12,7,0.228571,0.785714
cross_n5_noise0.08,5,0.08,125,13,8,0.175000,0.925000
cross_n5_noise0.08,5,0.08,250,13,8,0.175000,0.900000
cross_n5_noise0.08,5,0.08,500,13,8,0.225000,0.850000
cross_n5_noise0.08,5,0.08,1000,13,8,0.200000,0.900000
cross_n5_noise0.08,5,0.08,2000,13,8,0.200000,0.950000
cross_n5_noise0.08,5,0.08,4000,13,8,0.200000,0.950000
family_n3_noise0.16,3,0.16,125,48,24,0.965278,0.952257
family_n3_noise0.16,3,0.16,250,48,24,0.968750,0.955729
family_n3_noise0.16,3,0.16,500,48,24,0.967014,0.964410
family_n3_noise0.16,3,0.16,1000,48,24,0.960069,0.991319
family_n3_noise0.16,3,0.16,2000,48,24,0.961806,0.986111
family_n3_noise0.16,3,0.16,4000,48,24,0.963542,0.987847
