panel,n,name,triadic,max_phi
family_n3,3,W2_S7_C2,1,2.000000
family_n3,3,W2_S2_C1,1,2.000000
family_n3,3,W2_S4_C1,1,2.000000
family_n3,3,W2_S6_C2,1,0.500000
family_n3,3,W2_S8_C2,1,2.000000
family_n3,3,W2_S9_C2,1,0.500000
family_n3,3,W2_S6_C1,1,0.500000
family_n3,3,W2_S13_C1,1,2.000000
family_n3,3,W1_S11_C2,1,2.000000
family_n3,3,W2_S9_C1,1,0.500000
family_n3,3,W2_S11_C1,1,2.000000
family_n3,3,W2_S14_C2,1,2.000000
family_n3,3,W1_S9_C1,1,0.500000
family_n3,3,W1_S4_C2,1,2.000000
family_n3,3,W2_S1_C2,1,2.000000
family_n3,3,W1_S2_C2,1,2.000000
family_n3,3,W1_S1_C1,1,2.000000
family_n3,3,W1_S14_C1,1,2.000000
family_n3,3,W1_S7_C1,1,2.000000
family_n3,3,W1_S9_C2,1,0.500000
family_n3,3,W1_S8_C1,1,2.000000
family_n3,3,W1_S6_C1,1,0.500000
family_n3,3,W1_S13_C2,1,2.000000
family_n3,3,W1_S6_C2,1,0.500000
family_n3,3,W0_S6_C2,0,0.000000
family_n3,3,W3_S12_C2,0,0.000000
family_n3,3,W0_S7_C1,0,0.000000
family_n3,3,W3_S14_C1,0,0.000000
family_n3,3,W3_S1_C0,0,0.000000
family_n3,3,W1_S15_C2,0,0.000000
family_n3,3,W0_S9_C0,0,0.000000
family_n3,3,W3_S15_C2,0,0.000000
family_n3,3,W2_S14_C0,0,0.000000
family_n3,3,W2_S3_C2,0,0.000000
family_n3,3,W3_S10_C0,0,0.000000
family_n3,3,W0_S5_C1,0,0.000000
family_n3,3,W3_S0_C0,0,0.000000
family_n3,3,W3_S11_C1,0,0.000000
family_n3,3,W0_S14_C2,0,0.000000
family_n3,3,W3_S5_C1,0,0.000000
family_n3,3,W3_S13_C1,0,0.000000
family_n3,3,W0_S0_C0,0,0.000000
family_n3,3,W0_S7_C3,0,0.000000
family_n3,3,W2_S8_C1,0,0.000000
family_n3,3,W1_S15_C3,0,0.000000
family_n3,3,W1_S0_C3,0,0.000000
family_n3,3,W0_S2_C0,0,0.000000
family_n3,3,W3_S15_C1,0,0.000000
hub_n3,3,and_hub_n3,1,2.000000
hub_n3,3,or_hub_n3,1,2.000000
hub_n3,3,parity_hub_n3,1,0.500000
hub_n3,3,broadcast_n3,0,0.000000
hub_n3,3,broken_hub_n3,0,0.000000
hub_n3,3,maj_hub_n3,1,2.000000
hub_n3,3,or_thresh_n3,1,2.000000
hub_n3,3,and_thresh2_n3,1,2.000000
hub_n4,4,and_hub_n4,1,3.000000
hub_n4,4,or_hub_n4,1,3.000000
hub_n4,4,parity_hub_n4,1,0.250000
hub_n4,4,broadcast_n4,0,0.000000
hub_n4,4,broken_hub_n4,0,0.000000
hub_n4,4,maj_hub_n4,0,0.000000
hub_n4,4,or_thresh_n4,1,3.000000
hub_n4,4,and_thresh2_n4,0,0.000000
hub_n5,5,and_hub_n5,1,4.000000
hub_n5,5,or_hub_n5,1,4.000000
hub_n5,5,parity_hub_n5,1,0.125000
hub_n5,5,broadcast_n5,0,0.000000
hub_n5,5,broken_hub_n5,0,0.000000
hub_n5,5,maj_hub_n5,0,0.000000
hub_n5,5,or_thresh_n5,1,4.000000
hub_n5,5,and_thresh2_n5,0,0.000000
cross_n4,4,and_hub_n4,1,3.000000
cross_n4,4,or_hub_n4,1,3.000000
cross_n4,4,parity_hub_n4,1,0.250000
cross_n4,4,broadcast_n4,0,0.000000
cross_n4,4,broken_hub_n4,0,0.000000
cross_n4,4,maj_hub_n4,0,0.000000
cross_n4,4,or_thresh_n4,1,3.000000
cross_n4,4,and_thresh2_n4,0,0.000000
cross_n4,4,chain_and_n4,1,2.000000
cross_n4,4,chain_ff_n4,0,0.000000
cross_n4,4,pool_and_n4,1,12.000000
cross_n4,4,two_hub_n4,1,2.000000
cross_n5,5,and_hub_n5,1,4.000000
cross_n5,5,or_hub_n5,1,4.000000
cross_n5,5,parity_hub_n5,1,0.125000
cross_n5,5,broadcast_n5,0,0.000000
cross_n5,5,broken_hub_n5,0,0.000000
cross_n5,5,maj_hub_n5,0,0.000000
cross_n5,5,or_thresh_n5,1,4.000000
cross_n5,5,and_thresh2_n5,0,0.000000
cross_n5,5,chain_and_n5,1,2.000000
cross_n5,5,chain_ff_n5,0,0.000000
cross_n5,5,pool_and_n5,1,20.000000
cross_n5,5,two_hub_n5,1,2.000000
cross_n5,5,two_hub_sym_n5,1,6.000000
