form,n,phi_major,law,sia_phi_all1,phi_c,phi_e,sel_c,sel_e,fwd_c,ppart_c,mip,core_size,hold
conjunctive_hub,3,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,1.0000000000,0.25,"2 parts: {n0n1,n2}",3,True
conjunctive_hub,4,3.0000000000,3.0000000000,3.0000000000,3.0000000000,3.0000000000,1.0000000000,1.0000000000,1.0000000000,0.125,"4 parts: {n0,n1,n2,n3}",4,True
conjunctive_hub,5,4.0000000000,4.0000000000,4.0000000000,4.0000000000,4.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0625,"5 parts: {n0,n1,n2,n3,n4}",5,True
conjunctive_hub,6,5.0000000000,5.0000000000,5.0000000000,5.0000000000,5.0000000000,1.0000000000,1.0000000000,1.0000000000,0.03125,"6 parts: {n0,n1,n2,n3,n4,n5}",6,True
pool,3,6.0000000000,6.0000000000,6.0000000000,6.0000000000,6.0000000000,1.0000000000,1.0000000000,1.0000000000,0.015625,"3 parts: {n0,n1,n2}",3,True
pool,4,12.0000000000,12.0000000000,12.0000000000,12.0000000000,12.0000000000,1.0000000000,1.0000000000,1.0000000000,0.000244140625,"4 parts: {n0,n1,n2,n3}",4,True
pool,5,20.0000000000,20.0000000000,20.0000000000,20.0000000000,20.0000000000,1.0000000000,1.0000000000,1.0000000000,9.536743164e-07,"5 parts: {n0,n1,n2,n3,n4}",5,True
parity_hub,3,0.5000000000,0.5000000000,0.5000000000,0.5000000000,1.0000000000,0.5000000000,1.0000000000,1.0000000000,0.5,"3 parts: {n0,n1,n2}",3,True
parity_hub,4,0.2500000000,0.2500000000,0.2500000000,0.2500000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.5,"4 parts: {n0,n1,n2,n3}",4,True
parity_hub,5,0.1250000000,0.1250000000,0.1250000000,0.1250000000,1.0000000000,0.1250000000,1.0000000000,1.0000000000,0.5,"5 parts: {n0,n1,n2,n3,n4}",5,True
