name,family,n,k,r,structure,whole_phi_mip,core,core_phi,n_core,full_core,seconds
ring5,ring,5,,,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,6.4
hub5,hub,5,,,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,4.85
ring6,ring,6,,,triadic,4.000000,N0|N1|N2|N3|N4|N5,4.000000,6,True,51.47
hub6,hub,6,,,triadic,5.000000,N0|N1|N2|N3|N4|N5,5.000000,6,True,41.81
morph_n5_k0,morph,5,0,,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,6.4
morph_n5_k1,morph,5,1,,dyadic,0.000000,N0|N1,2.000000,2,False,0.24
morph_n5_k2,morph,5,2,,dyadic,0.000000,N0|N1|N2,2.000000,3,False,0.32
morph_n5_k3,morph,5,3,,dyadic,0.000000,N0|N1|N2|N3,3.000000,4,False,0.4
morph_n5_k4,morph,5,4,,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,4.85
morph_n6_k0,morph,6,0,,triadic,4.000000,N0|N1|N2|N3|N4|N5,4.000000,6,True,51.47
morph_n6_k1,morph,6,1,,dyadic,0.000000,N0|N1,2.000000,2,False,0.99
morph_n6_k2,morph,6,2,,dyadic,0.000000,N0|N1|N2,2.000000,3,False,0.65
morph_n6_k3,morph,6,3,,dyadic,0.000000,N0|N1|N2|N3,3.000000,4,False,1.46
morph_n6_k4,morph,6,4,,dyadic,0.000000,N0|N1|N2|N3|N4,4.000000,5,False,2.56
morph_n6_k5,morph,6,5,,triadic,5.000000,N0|N1|N2|N3|N4|N5,5.000000,6,True,41.81
hub_rewire_n5_r0,hub_rewire,5,,0,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,6.6
hub_rewire_n5_r1,hub_rewire,5,,1,triadic,4.000000,N0|N1|N2|N3|N4,4.000000,5,True,6.53
hub_rewire_n5_r2,hub_rewire,5,,2,triadic,1.000000,N2|N3,2.000000,2,False,6.17
hub_rewire_n5_r3,hub_rewire,5,,3,triadic,1.000000,N3|N4,2.000000,2,False,8.56
hierarchy_star_n5,hierarchy_star,5,,,triadic,4.000000,A|L0|L1|L2|L3,4.000000,5,True,4.87
