name,family,n,structure,max_phi,triadic,elapsed_s,mean_mi,tc_per_node,abs_oinfo,adj_spectral_radius,lap_lambda2,lap_lambda_max,lap_gap,graph_energy,vn_entropy,P_second_mod,P_spectral_gap
chain_and_n3,chain,3,triadic,2.000000,1,0.06,0.09171836,0.09205358,0.00100565,1.41421356,1.00000000,3.00000000,2.00000000,2.82842712,0.63651417,0.84000000,0.16000000
chain_ff_n3,chain,3,dyadic,0.000000,0,0.0,0.26133052,0.21180288,0.14858292,1.00000000,1.00000000,3.00000000,2.00000000,1.00000000,0.63651417,0.84000000,0.16000000
pool_and_n3,pool,3,triadic,6.000000,1,0.07,0.00020494,0.00039583,0.00057269,2.00000000,3.00000000,3.00000000,0.00000000,4.00000000,0.69314718,0.77968353,0.22031647
pool_or_n3,pool,3,triadic,6.000000,1,0.07,0.00147448,0.00172793,0.00076034,2.00000000,3.00000000,3.00000000,0.00000000,4.00000000,0.69314718,0.77968353,0.22031647
and_hub_n3,single_hub,3,triadic,2.000000,1,0.06,0.10521236,0.10528736,0.00022501,1.41421356,1.00000000,3.00000000,2.00000000,2.82842712,0.63651417,0.84000000,0.16000000
broken_hub_n3,single_hub,3,dyadic,0.000000,0,0.01,0.02724237,0.02748558,0.00072964,1.00000000,1.00000000,3.00000000,2.00000000,3.00000000,0.63651417,0.84000000,0.16000000
or_hub_n3,or_hub,3,triadic,2.000000,1,0.06,0.10223141,0.10243143,0.00060006,1.41421356,1.00000000,3.00000000,2.00000000,2.82842712,0.63651417,0.84000000,0.16000000
parity_hub_n3,parity_hub,3,triadic,0.500000,1,0.1,0.09015327,0.08995927,0.00058198,1.41421356,1.00000000,3.00000000,2.00000000,2.82842712,0.63651417,0.00000001,0.99999999
broadcast_n3,broadcast,3,dyadic,0.000000,0,0.0,0.12937445,0.12950512,0.00039202,1.00000000,1.00000000,3.00000000,2.00000000,2.00000000,0.63651417,0.84000000,0.16000000
maj_n3,majority,3,triadic,2.000000,1,0.06,0.10494117,0.10324359,0.00509272,1.41421356,1.00000000,3.00000000,2.00000000,2.82842712,0.63651417,0.84000000,0.16000000
thresh1_n3,majority,3,triadic,2.000000,1,0.06,0.09753917,0.09769252,0.00046006,1.41421356,1.00000000,3.00000000,2.00000000,2.82842712,0.63651417,0.84000000,0.16000000
chain_and_n4,chain,4,triadic,2.000000,1,0.38,0.01128585,0.01854095,0.00605209,1.61803399,0.58578644,3.41421356,2.82842712,4.47213595,0.97431475,0.84000000,0.16000000
chain_ff_n4,chain,4,dyadic,0.000000,0,0.01,0.16565720,0.18185731,0.22185733,1.00000000,0.58578644,3.41421356,2.82842712,1.00000000,0.97431475,0.84000000,0.16000000
pool_and_n4,pool,4,triadic,12.000000,1,0.38,0.00016360,0.00074741,0.00248634,3.00000000,4.00000000,4.00000000,0.00000000,6.00000000,1.09861229,0.71650349,0.28349651
pool_or_n4,pool,4,triadic,12.000000,1,0.38,0.00031390,0.00081997,0.00132411,3.00000000,4.00000000,4.00000000,0.00000000,6.00000000,1.09861229,0.71650349,0.28349651
and_hub_n4,single_hub,4,triadic,3.000000,1,0.33,0.14719778,0.17121082,0.19826898,1.73205081,1.00000000,4.00000000,3.00000000,3.46410162,1.03972077,0.80849727,0.19150273
broken_hub_n4,single_hub,4,dyadic,0.000000,0,0.01,0.04601438,0.06602446,0.00956540,1.41421356,1.00000000,4.00000000,3.00000000,3.82842712,1.03972077,0.84000000,0.16000000
or_hub_n4,or_hub,4,triadic,3.000000,1,0.34,0.14100457,0.16314019,0.19166438,1.73205081,1.00000000,4.00000000,3.00000000,3.46410162,1.03972077,0.80849727,0.19150273
parity_hub_n4,parity_hub,4,triadic,0.250000,1,0.76,0.20411300,0.22779233,0.31394586,1.73205081,1.00000000,4.00000000,3.00000000,3.46410162,1.03972077,0.70560000,0.29440000
broadcast_n4,broadcast,4,dyadic,0.000000,0,0.01,0.20201669,0.22694763,0.30336404,1.00000000,1.00000000,4.00000000,3.00000000,2.00000000,1.03972077,0.84000000,0.16000000
maj_n4,majority,4,dyadic,0.000000,0,0.07,0.18695386,0.21059586,0.27648424,1.73205081,1.00000000,4.00000000,3.00000000,3.46410162,1.03972077,0.89970235,0.10029765
thresh1_n4,majority,4,triadic,3.000000,1,0.36,0.15596949,0.17815685,0.22338484,1.73205081,1.00000000,4.00000000,3.00000000,3.46410162,1.03972077,0.80849727,0.19150273
chain_and_n5,chain,5,triadic,2.000000,1,2.83,0.01102320,0.02587216,0.02115627,1.73205081,0.38196601,3.61803399,3.23606798,5.46410162,1.22151838,0.81433410,0.18566590
chain_ff_n5,chain,5,dyadic,0.000000,0,0.02,0.12413337,0.17227121,0.28551916,1.00000000,0.38196601,3.61803399,3.23606798,1.00000000,1.22151838,0.84000000,0.16000000
