name,family,n,structure,max_phi,triadic,elapsed_s
chain_and_n3,chain,3,triadic,2.0,1,0.07
chain_ff_n3,chain,3,dyadic,0.0,0,0.01
pool_and_n3,pool,3,triadic,6.0,1,0.07
pool_or_n3,pool,3,triadic,6.0,1,0.07
pool_idle_n3,pool,3,dyadic,0.0,0,0.01
and_hub_n3,single_hub,3,triadic,2.0,1,0.06
broken_hub_n3,single_hub,3,dyadic,0.0,0,0.01
or_hub_n3,or_hub,3,triadic,2.0,1,0.07
broken_or_hub_n3,or_hub,3,dyadic,0.0,0,0.01
parity_hub_n3,parity_hub,3,triadic,0.5,1,0.11
broken_parity_n3,parity_hub,3,dyadic,0.0,0,0.01
broadcast_n3,broadcast,3,dyadic,0.0,0,0.01
broadcast_joint_n3,broadcast,3,triadic,2.0,1,0.1
maj_hub_n3_k2,majority,3,triadic,2.0,1,0.07
thresh_hub_n3_k1,majority,3,triadic,2.0,1,0.07
chain_and_n4,chain,4,triadic,2.0,1,0.4
chain_ff_n4,chain,4,dyadic,0.0,0,0.02
pool_and_n4,pool,4,triadic,12.0,1,0.36
pool_or_n4,pool,4,triadic,12.0,1,0.37
pool_idle_n4,pool,4,dyadic,0.0,0,0.02
and_hub_n4,single_hub,4,triadic,3.0,1,0.34
broken_hub_n4,single_hub,4,dyadic,0.0,0,0.02
or_hub_n4,or_hub,4,triadic,3.0,1,0.36
broken_or_hub_n4,or_hub,4,dyadic,0.0,0,0.02
parity_hub_n4,parity_hub,4,triadic,0.25,1,0.76
broken_parity_n4,parity_hub,4,dyadic,0.0,0,0.02
broadcast_n4,broadcast,4,dyadic,0.0,0,0.02
broadcast_joint_n4,broadcast,4,triadic,3.0,1,0.34
maj_hub_n4_k2,majority,4,dyadic,0.0,0,0.08
thresh_hub_n4_k1,majority,4,triadic,3.0,1,0.36
thresh_hub_n4_k2,majority,4,dyadic,0.0,0,0.08
chain_and_n5,chain,5,triadic,2.0,1,2.86
chain_ff_n5,chain,5,dyadic,0.0,0,0.04
pool_and_n5,pool,5,triadic,20.0,1,2.66
pool_or_n5,pool,5,triadic,20.0,1,2.73
pool_idle_n5,pool,5,dyadic,0.0,0,0.03
and_hub_n5,single_hub,5,triadic,4.0,1,2.47
broken_hub_n5,single_hub,5,dyadic,0.0,0,0.03
or_hub_n5,or_hub,5,triadic,4.0,1,2.66
broken_or_hub_n5,or_hub,5,dyadic,0.0,0,0.03
parity_hub_n5,parity_hub,5,triadic,0.125,1,6.1
broken_parity_n5,parity_hub,5,dyadic,0.0,0,0.03
broadcast_n5,broadcast,5,dyadic,0.0,0,0.03
broadcast_joint_n5,broadcast,5,triadic,4.0,1,2.43
maj_hub_n5_k3,majority,5,dyadic,0.0,0,0.17
thresh_hub_n5_k1,majority,5,triadic,4.0,1,2.65
thresh_hub_n5_k2,majority,5,dyadic,0.0,0,0.17
two_hub_asym_n4,two_hub,4,triadic,2.0,1,0.49
broken_two_hub_n4,two_hub,4,dyadic,0.0,0,0.02
two_hub_asym_n5,two_hub,5,triadic,2.0,1,2.71
broken_two_hub_n5,two_hub,5,dyadic,0.0,0,0.04
two_hub_sym_n5,two_hub,5,triadic,6.0,1,2.57
