family,construction,k,phi,structure,n_core,major_complex,mc_phi
conjunctive,hold_k,1,2.00000000,triadic,3,"{W,S,C}",2.00000000
conjunctive,hold_k,2,0.00000000,dyadic,1,{S},1.00000000
conjunctive,hold_k,3,0.00000000,dyadic,1,{S},1.00000000
conjunctive,hold_k,4,0.00000000,dyadic,1,{S},1.00000000
conjunctive,hold_k,5,0.00000000,dyadic,1,{S},1.00000000
conjunctive,hold_k,6,0.00000000,dyadic,1,{S},1.00000000
conjunctive,prob_1k,1,2.00000000,triadic,3,"{W,S,C}",2.00000000
conjunctive,prob_1k,2,0.27122876,triadic,3,"{W,S,C}",0.50000000
conjunctive,prob_1k,3,0.13834583,triadic,3,"{W,S,C}",0.27122876
conjunctive,prob_1k,4,0.09217239,triadic,3,"{W,S,C}",0.18377613
conjunctive,prob_1k,5,0.06896037,triadic,3,"{W,S,C}",0.13834583
conjunctive,prob_1k,6,0.05504145,triadic,3,"{W,S,C}",0.11070287
parity_hub,hold_k,1,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,hold_k,2,0.00000000,dyadic,0,(none),nan
parity_hub,hold_k,3,0.00000000,dyadic,0,(none),nan
parity_hub,hold_k,4,0.00000000,dyadic,0,(none),nan
parity_hub,hold_k,5,0.00000000,dyadic,0,(none),nan
parity_hub,hold_k,6,0.00000000,dyadic,0,(none),nan
parity_hub,prob_1k,1,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
parity_hub,prob_1k,2,0.50000000,triadic,3,"{S,P1,P2}",0.21936094
parity_hub,prob_1k,3,0.33333333,triadic,3,"{S,P1,P2}",0.13834583
parity_hub,prob_1k,4,0.19264508,triadic,3,"{S,P1,P2}",0.10060253
parity_hub,prob_1k,5,0.15200309,triadic,3,"{S,P1,P2}",0.07891032
parity_hub,prob_1k,6,0.12553088,triadic,3,"{S,P1,P2}",0.06486446
