panel,family,n,name,triadic,max_phi
family_n3,strict_med,3,W2_S6_C2,1,0.500000
family_n3,strict_med,3,W2_S14_C2,1,2.000000
family_n3,strict_med,3,W2_S13_C1,1,2.000000
family_n3,strict_med,3,W2_S9_C2,1,0.500000
family_n3,strict_med,3,W1_S6_C2,1,0.500000
family_n3,strict_med,3,W1_S6_C1,1,0.500000
family_n3,strict_med,3,W1_S2_C2,1,2.000000
family_n3,strict_med,3,W1_S4_C2,1,2.000000
family_n3,strict_med,3,W1_S9_C2,1,0.500000
family_n3,strict_med,3,W2_S8_C2,1,2.000000
family_n3,strict_med,3,W1_S13_C2,1,2.000000
family_n3,strict_med,3,W1_S7_C1,1,2.000000
family_n3,strict_med,3,W2_S4_C1,1,2.000000
family_n3,strict_med,3,W1_S14_C1,1,2.000000
family_n3,strict_med,3,W1_S9_C1,1,0.500000
family_n3,strict_med,3,W2_S6_C1,1,0.500000
family_n3,strict_med,3,W2_S9_C1,1,0.500000
family_n3,strict_med,3,W1_S1_C1,1,2.000000
family_n3,strict_med,3,W2_S11_C1,1,2.000000
family_n3,strict_med,3,W2_S1_C2,1,2.000000
family_n3,strict_med,3,W1_S11_C2,1,2.000000
family_n3,strict_med,3,W2_S2_C1,1,2.000000
family_n3,strict_med,3,W1_S8_C1,1,2.000000
family_n3,strict_med,3,W2_S7_C2,1,2.000000
family_n3,strict_med,3,W2_S0_C3,0,0.000000
family_n3,strict_med,3,W1_S4_C1,0,0.000000
family_n3,strict_med,3,W0_S6_C3,0,0.000000
family_n3,strict_med,3,W1_S13_C1,0,0.000000
family_n3,strict_med,3,W1_S14_C0,0,0.000000
family_n3,strict_med,3,W0_S9_C3,0,0.000000
family_n3,strict_med,3,W3_S9_C0,0,0.000000
family_n3,strict_med,3,W3_S10_C0,0,0.000000
family_n3,strict_med,3,W2_S12_C0,0,0.000000
family_n3,strict_med,3,W3_S5_C2,0,0.000000
family_n3,strict_med,3,W0_S8_C3,0,0.000000
family_n3,strict_med,3,W3_S3_C2,0,0.000000
family_n3,strict_med,3,W3_S2_C0,0,0.000000
family_n3,strict_med,3,W0_S8_C1,0,0.000000
family_n3,strict_med,3,W0_S10_C3,0,0.000000
family_n3,strict_med,3,W1_S2_C3,0,0.000000
family_n3,strict_med,3,W0_S1_C1,0,0.000000
family_n3,strict_med,3,W0_S15_C0,0,0.000000
family_n3,strict_med,3,W3_S13_C0,0,0.000000
family_n3,strict_med,3,W2_S7_C0,0,0.000000
family_n3,strict_med,3,W2_S15_C3,0,0.000000
family_n3,strict_med,3,W3_S10_C1,0,0.000000
family_n3,strict_med,3,W2_S10_C3,0,0.000000
family_n3,strict_med,3,W0_S2_C1,0,0.000000
