slug,class,dataset,n,structure,whole_phi,core,core_phi,core_size,n_minus_1,full_core,signature,notes
ctrl_hub_n3,control,synthetic,3,triadic,2.0,"{n0,n1,n2}",2.0,3,2,1,1,#116 single_hub control
ctrl_hub_n4,control,synthetic,4,triadic,3.0,"{n0,n1,n2,n3}",3.0,4,3,1,1,#116 single_hub control
counts_identity_n3,role_counts,pyphi_v9_roles,3,dyadic,0.0,{r2},1.0,1,2,0,0,x_i'=x_i
counts_cycle_copy_n3,role_counts,pyphi_v9_roles,3,triadic,2.0,"{r0,r1,r2}",2.0,3,2,1,1,x_i'=x_{i-1}
counts_k_of_n_1_n3,role_counts,pyphi_v9_roles,3,triadic,6.0,"{r0,r1,r2}",6.0,3,2,1,0,threshold k=1 of others
counts_k_of_n_nm1_n3,role_counts,pyphi_v9_roles,3,triadic,6.0,"{r0,r1,r2}",6.0,3,2,1,0,threshold k=n-1
counts_hub_n3,role_counts,pyphi_v9_roles,3,triadic,2.0,"{r0,r1,r2}",2.0,3,2,1,1,conjunctive hub from count n
counts_identity_n4,role_counts,sklearn_v10_k8s_v11_roles,4,dyadic,0.0,{r3},1.0,1,3,0,0,x_i'=x_i
counts_cycle_copy_n4,role_counts,sklearn_v10_k8s_v11_roles,4,triadic,2.0,"{r0,r1,r2,r3}",2.0,4,3,1,0,x_i'=x_{i-1}
counts_k_of_n_1_n4,role_counts,sklearn_v10_k8s_v11_roles,4,triadic,12.0,"{r0,r1,r2,r3}",12.0,4,3,1,0,threshold k=1 of others
counts_k_of_n_nm1_n4,role_counts,sklearn_v10_k8s_v11_roles,4,triadic,12.0,"{r0,r1,r2,r3}",12.0,4,3,1,0,threshold k=n-1
counts_hub_n4,role_counts,sklearn_v10_k8s_v11_roles,4,triadic,3.0,"{r0,r1,r2,r3}",3.0,4,3,1,1,conjunctive hub from count n
act3_fit,activity,real_series/activity_core.csv,3,dyadic,0.0,{p2},1.0,1,2,0,0,"majority next-state fit; parties=['wmayner', 'rlmv', 'William Marshall']"
act3_thr_k1,activity,real_series/activity_core.csv,3,triadic,6.0,"{p0,p1,p2}",6.0,3,2,1,0,k-of-n threshold k=1 on activity n=3
act3_thr_kmax,activity,real_series/activity_core.csv,3,triadic,6.0,"{p0,p1,p2}",6.0,3,2,1,0,k-of-n threshold k=2 on activity n=3
act4_fit,activity,real_series/activity_recent.csv,4,dyadic,0.0,{p0},1.0,1,3,0,0,"majority next-state fit; parties=['wmayner', 'isacdaavid', 'dviggiano', 'ajbailey4']"
act4_thr_k1,activity,real_series/activity_recent.csv,4,triadic,12.0,"{p0,p1,p2,p3}",12.0,4,3,1,0,k-of-n threshold k=1 on activity n=4
act4_thr_kmax,activity,real_series/activity_recent.csv,4,triadic,12.0,"{p0,p1,p2,p3}",12.0,4,3,1,0,k-of-n threshold k=3 on activity n=4
pyphi_v9_triad,institutional,event_series/PyPhi,3,triadic,2.0,"{W,S,C}",2.0,3,2,1,1,v9 institutional merge triad
sklearn_v10_fourrole,institutional,review_heavy/sklearn,4,triadic,1.0,"{R,S,C}",2.0,3,3,0,0,v10 author/review/merge/code
k8s_v11_prow,institutional,bot_merged/k8s,4,triadic,2.0,"{R,B,C}",2.0,3,3,0,0,v11 approval/bot/code/author
