side,style,k,n,structure,phi,n_core,core,core_eq_group,vanishes
counterpart,weak,1,3,triadic,2.0,3,W|S|C1,0,0
worker,weak,1,3,triadic,2.0,3,W1|S|C,0,0
counterpart,weak,2,4,dyadic,2.0,2,C1|C2,1,0
worker,weak,2,4,dyadic,2.0,2,W1|W2,1,0
counterpart,weak,3,5,dyadic,6.0,3,C1|C2|C3,1,0
worker,weak,3,5,dyadic,6.0,3,W1|W2|W3,1,0
counterpart,weak,4,6,dyadic,12.0,4,C1|C2|C3|C4,1,0
worker,weak,4,6,dyadic,12.0,4,W1|W2|W3|W4,1,0
counterpart,strong,2,4,dyadic,2.0,2,C1|C2,1,0
worker,strong,2,4,dyadic,2.0,2,W1|W2,1,0
counterpart,strong,3,5,dyadic,2.0,3,C1|C2|C3,1,0
worker,strong,3,5,dyadic,2.0,3,W1|W2|W3,1,0
counterpart,strong,4,6,dyadic,2.0,4,C1|C2|C3|C4,1,0
worker,strong,4,6,dyadic,2.0,4,W1|W2|W3|W4,1,0
counterpart,P,2,5,dyadic,2.0,2,C1|C2,1,0
worker,P,2,5,dyadic,2.0,2,W1|W2,1,0
counterpart,P,3,6,dyadic,6.0,3,C1|C2|C3,1,0
worker,P,3,6,dyadic,6.0,3,W1|W2|W3,1,0
