panel,family,n,name,triadic,phi_full,phi_zero_duty_B,phi_retain_MA,phi_omit_M,phi_alt,zero_eq_retain
family_n3,mediation,3,W1_S11_C2,1,2.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W1_S6_C1,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S6_C2,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S6_C1,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S2_C1,1,2.000000,2.000000,2.000000,0.000000,1.000000,1
family_n3,mediation,3,W1_S7_C1,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W1_S9_C2,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S4_C1,1,2.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W1_S8_C1,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W1_S6_C2,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S9_C1,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W1_S13_C2,1,2.000000,2.000000,2.000000,0.000000,1.000000,1
family_n3,mediation,3,W2_S7_C2,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W2_S9_C2,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S14_C2,1,2.000000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W1_S1_C1,1,2.000000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S1_C2,1,2.000000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W1_S4_C2,1,2.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W2_S13_C1,1,2.000000,2.000000,2.000000,0.000000,1.000000,1
family_n3,mediation,3,W1_S14_C1,1,2.000000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S11_C1,1,2.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W1_S2_C2,1,2.000000,2.000000,2.000000,0.000000,1.000000,1
family_n3,mediation,3,W1_S9_C1,1,0.500000,2.000000,2.000000,0.000000,2.000000,1
family_n3,mediation,3,W2_S8_C2,1,2.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W0_S11_C1,0,0.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W3_S3_C1,0,0.000000,0.000000,0.000000,0.000000,1.000000,1
family_n3,mediation,3,W0_S11_C0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W1_S3_C3,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W0_S0_C2,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
family_n3,mediation,3,W2_S2_C3,0,0.000000,2.000000,2.000000,0.000000,1.000000,1
