form_id,construction,has_backchannel,split,n,n_edges,density,max_in_degree,max_out_degree,hub_fanin,hub_fanout,n_reciprocal,n_reciprocal_nonhub,n_nonhub_edges,frac_edges_through_hub,is_strict_star,longest_path,hub_bias,hub_all_required,hub_or_like,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,tdmi,phi_wms,causal_density,integrated_synergy,phi_max,n_states,structure,triadic
census_n3_W0_S0_C0,census,0,train,3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1.2391740079392203e-10,0.0,0.028135324761021978,0.0,0.0,0.0,0.0,0.0,0.000000,1,dyadic,0
census_n3_W0_S1_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.25,0,0,1.2391655086730198e-10,0.0,0.028135324761021978,0.0,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S2_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.25,0,0,1.2391740079392203e-10,0.0,0.035169155951277474,0.0006680026720106872,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S3_C0,census,0,train,3,1,0.16666666666666666,1,1,1,0,0,0,0,1.0,1,1,0.5,0,0,1.2391655086730198e-10,0.0,0.028135324761021978,0.0,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S4_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.25,0,0,1.2391740079392203e-10,0.0,0.014067662380510989,0.0,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S5_C0,census,0,train,3,1,0.16666666666666666,1,1,0,1,0,0,0,1.0,1,1,0.0,0,0,1.2391655086730198e-10,0.0,0.028135324761021978,0.33466933867735466,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S6_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.5,0,1,1.2391740079392203e-10,0.0,0.021101493570766485,0.9999999999999999,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S7_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.75,0,1,1.2391655086730198e-10,0.0,0.021101493570766485,0.0,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S8_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.25,1,0,1.2391740079392203e-10,0.0,0.028135324761021978,0.33466933867735466,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S9_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.5,0,0,1.2391655086730198e-10,0.0,0.028135324761021978,0.0,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S10_C0,census,0,train,3,1,0.16666666666666666,1,1,0,1,0,0,0,1.0,1,1,0.0,0,0,1.2391740079392203e-10,0.0,0.014067662380510989,0.0,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S11_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.75,0,0,1.2391655086730198e-10,0.0,0.028135324761021978,0.3333333333333333,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S12_C0,census,0,train,3,1,0.16666666666666666,1,1,1,0,0,0,0,1.0,1,1,0.5,1,0,1.2391740079392203e-10,0.0,0.035169155951277474,0.23546596734323863,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S13_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.75,0,0,1.2391655086730198e-10,0.0,0.028135324761021978,0.23546596734323866,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S14_C0,census,0,train,3,2,0.3333333333333333,2,1,2,0,0,0,0,1.0,1,1,0.75,0,1,1.2391740079392203e-10,0.0,0.028135324761021978,0.8042652680198105,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W0_S15_C0,census,0,train,3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1.2391655086730198e-10,0.0,0.028135324761021978,0.9999999999999999,0.0,0.0,0.0,0.0,0.000000,1,dyadic,0
