idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,n_edges
0,3,0.3,0.0,3.0,copy|majority|copy,0.0,0.0,2,2.0,0.0,0.014067662380510989,0.0,3.0
1,3,0.3,0.0,4.0,or|and|parity,0.0,0.0,4,1.6225562489182654,0.0,0.035169155951277474,0.23546596734323863,4.0
2,3,0.3,0.0,4.0,parity|majority|parity,0.0,0.0,4,1.0,0.9999999999586947,0.014067662380510989,0.0,4.0
3,3,0.3,0.0,4.0,and|and|copy,0.0,0.0,4,1.0,2.999999999876084,0.014067662380510989,0.0,4.0
4,3,0.3,0.0,3.0,or|parity|or,0.0,0.0,4,1.0,2.999999999876084,0.021101493570766485,0.0,3.0
5,3,0.3,0.0,3.0,and|parity|and,0.0,0.0,4,2.0,0.0,0.021101493570766485,0.0,3.0
6,3,0.3,0.0,3.0,majority|parity|copy,0.0,0.0,4,1.0,0.0,0.021101493570766485,0.0,3.0
7,3,0.3,0.0,3.0,parity|or|or,0.0,0.0,4,1.0,2.999999999876084,0.021101493570766485,0.9973386453970781,3.0
8,3,0.3,0.0,5.0,majority|and|or,0.0,0.0,4,1.6225562489182654,0.0,0.035169155951277474,0.0006680026720106872,5.0
9,3,0.3,0.0,3.0,and|or|and,0.0,0.0,4,1.0,2.999999999876084,0.028135324761021978,1.0,3.0
10,3,0.3,0.0,4.0,parity|parity|copy,0.0,0.0,4,1.0,0.9999999999586945,0.035169155951277474,0.014922049367861507,4.0
11,3,0.3,0.0,3.0,copy|parity|or,0.0,0.0,4,2.0,0.0,0.021101493570766485,0.0,3.0
12,3,0.3,0.0,3.0,and|and|or,0.0,0.0,4,1.0,2.999999999876084,0.028135324761021978,1.0,3.0
13,3,0.3,0.0,5.0,copy|or|copy,2.0,2.0,8,0.0,2.999999999876084,0.035169155951277474,0.4999996236836215,5.0
14,3,0.3,0.0,3.0,parity|and|or,0.0,0.0,4,2.0,0.0,0.035169155951277474,0.23546596734323863,3.0
15,3,0.3,0.05,3.0,or|or|parity,0.0,0.0,8,0.5470574518127167,2.140809128652131,0.3868607154640522,0.32794273254783585,3.0
16,3,0.3,0.05,4.0,and|and|copy,0.39696437574232085,1.5878575029692834,8,0.019526247272690478,0.5411361935649756,0.35169155951277475,0.03399601507405652,4.0
17,3,0.3,0.05,3.0,and|and|or,1.5878575029692836,1.5878575029692836,8,0.0,2.1408091286521316,0.46423285855686264,0.01537582553606804,3.0
18,3,0.3,0.05,3.0,parity|or|copy,0.0,0.0,8,0.5470574518127167,0.2859343306189285,0.34465772832251923,0.357843229066692,3.0
19,3,0.3,0.05,4.0,or|copy|copy,0.0,0.0,8,0.9292475566673923,0.7308741310403359,0.39389454665430773,0.7329355114113433,4.0
20,3,0.3,0.05,6.0,or|and|parity,0.04179129951764899,0.3343303961411919,8,0.09764780540548568,0.612633186438114,0.3587253907030302,0.11868628625535395,6.0
21,3,0.3,0.05,3.0,or|copy|parity,0.0,0.0,8,0.5470574518127167,2.140809128652131,0.39389454665430773,0.28560532712144426,3.0
22,3,0.3,0.05,5.0,majority|majority|or,0.24203747658158148,1.5878575029692834,8,0.014662708217135556,0.24018234908700042,0.34465772832251923,0.006318658052304152,5.0
23,3,0.3,0.05,4.0,or|parity|copy,0.0,0.0,8,0.5470574518127167,2.140809128652131,0.3727930530835412,0.2917138264382679,4.0
24,3,0.3,0.05,3.0,parity|parity|majority,0.0,0.0,8,0.9292475566673923,0.7308741310403369,0.43609753379584065,0.6856396565714973,3.0
25,3,0.3,0.05,5.0,majority|copy|copy,0.0,0.0,8,0.5470574518127167,2.140809128652131,0.4290637026055852,0.4233759289553219,5.0
26,3,0.3,0.05,3.0,majority|or|and,0.0,0.0,8,1.1833940178841724,0.571868661237857,0.3868607154640522,0.7808942969420611,3.0
27,3,0.3,0.05,3.0,parity|copy|and,0.0,0.0,8,0.5470574518127167,2.140809128652131,0.3868607154640522,0.41463088945383064,3.0
28,3,0.3,0.05,3.0,or|parity|or,0.0,0.0,8,0.5470574518127167,2.140809128652131,0.4290637026055852,0.2694120013568522,3.0
29,3,0.3,0.05,6.0,or|and|or,0.0,0.0,8,0.044401465039790367,0.15473686393744934,0.4009283778445632,0.2354882937082071,6.0
