idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_mean,phi_max,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
0,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,-1.0,1.0
1,3,0.3,0.0,0,2.188721875540867,0.8112781244591328,3.0,0.8112781244591328,0.0,0.0,0.0,-0.8112781244591328,0.0,1.6225562489182654,0.0,-0.8112781244591328,0.8112781244591328
2,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,-1.0,0.9999999999586947,1.0,0.3333333333333333,-1.0,2.0
3,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
4,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
5,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,-1.0,1.0
6,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,2.0
7,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
8,3,0.3,0.0,0,2.188721875540867,0.8112781244591328,3.0,0.8112781244591328,0.0,0.0,0.0,-0.8112781244591328,0.0,1.6225562489182654,0.0,-0.8112781244591328,0.8112781244591328
9,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
10,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,-1.0,0.9999999999586945,1.0,0.3333333333333333,-1.0,2.0
11,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,-1.0,1.0
12,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
13,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,2.999999999876084,0.0,0.5,0.0,3.0
14,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,-1.0,1.0
15,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528743,-0.42766871226511494,1.5937516768394144
16,3,0.3,0.05,1,1.5909018076147197,0.549907321037412,3.859190871347869,1.4090981923852806,0.8591908713478685,0.39696437574232085,1.5878575029692834,0.21250566268016907,0.5411361935531583,0.019526247266517194,0.09278847272629616,-0.015530361419058447,0.5499073210386396
17,3,0.3,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,1.5878575029692836,1.5878575029692836,1.4272060857680875,2.1408091286521316,0.0,0.35680152144202193,1.1102230246251565e-16,2.1408091286521316
18,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,-0.26112312119378833,0.2859343306189285,0.5470574518127167,0.04765572176982142,-0.48853961183174177,1.5937516768394144
19,3,0.3,0.05,1,0.9292475566673926,1.211561571984739,3.859190871347869,2.0707524433326077,0.8591908713478686,0.0,0.0,-0.3339383779807611,0.7308741310403359,0.9292475566673923,0.15780626002787237,-0.5730814362691492,1.211561571984739
20,3,0.3,0.05,1,1.5509888020721567,0.5898203265799749,3.859190871347869,1.4490111979278435,0.8591908713478686,0.04179129951764899,0.3343303961411919,0.2848369261635061,0.6126331864289469,0.09764780539763307,0.10316096483437998,-0.053328508459642654,0.5898203265810971
21,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,0.1665455910713265,2.140809128652131,0.5470574518127167,0.4280796401528742,-0.4276687122651154,1.5937516768394144
22,3,0.3,0.05,1,1.9053351838384662,0.2354739448136659,3.859190871347869,1.0946648161615344,0.8591908713478685,0.24203747658158148,1.5878575029692834,0.04249869365361522,0.24018234906955804,0.01466270820870652,0.038768319731053026,-0.003313497101015056,0.23547394481523373
23,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528743,-0.42766871226511494,1.5937516768394144
24,3,0.3,0.05,1,0.9292475566673923,1.2115615719847388,3.859190871347869,2.0707524433326077,0.8591908713478689,0.0,0.0,-0.3339383779807612,0.7308741310403369,0.9292475566673923,0.15780626002787249,-0.5730814362691491,1.2115615719847388
25,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528743,-0.42766871226511494,1.5937516768394144
26,3,0.3,0.05,1,1.1833940178841729,0.9574151107679589,3.859190871347869,1.8166059821158276,0.8591908713478686,0.0,0.0,-0.35040223545252724,0.571868661237857,1.1833940178841724,0.11560174339518514,-0.6148530601570589,0.9574151107679587
27,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528743,-0.42766871226511494,1.5937516768394144
28,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528743,-0.42766871226511494,1.5937516768394144
