idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_psi,phi_mean,phi_max,phi_piw,gates,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
0,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,or|parity|and,-1.0,0.0,1.0,0.0,-1.0,2.0
1,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,or|copy|copy,2.0,2.999999999876084,0.0,0.5,0.0,3.0
2,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,majority|parity|copy,-1.0,0.0,1.0,0.0,-1.0,2.0
3,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-1.9068905956085012,0.0,0.0,0.0,copy|copy|parity,-1.0,0.0,1.0000000000413056,0.0,-1.0,1.0
4,3,0.3,0.0,0,1.188721875540867,1.811278124459133,3.0,1.811278124459133,0.0,-1.1332062193464867,0.0,0.0,0.0,copy|or|and,-0.8112781244591328,0.0,0.8112781244591329,0.0,-0.8112781244591328,1.8112781244591327
5,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,and|and|copy,-1.0,0.0,2.0,0.0,-1.0,1.0
6,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,or|and|or,-1.0,0.0,2.0,0.0,-1.0,1.0
7,3,0.3,0.0,0,2.045565997075035,0.954434002924965,3.0,0.954434002924965,0.0,-1.8613245985334663,0.6666666666666666,2.0,0.0,parity|copy|majority,0.0,0.0,8.261158424005544e-11,0.0,0.0,0.9544340029249649
8,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,parity|majority|or,-1.0,0.0,1.0,0.0,-1.0,2.0
9,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,and|and|copy,-1.0,0.0,1.0,0.0,-1.0,2.0
10,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,or|copy|copy,0.0,0.0,0.0,0.0,0.0,3.0
11,3,0.3,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.13450746191304974,0.4025062498798073,2.0,0.25,parity|majority|or,-0.5435644431995963,0.0,1.0871288863991926,0.0,-0.5435644431995963,0.5435644431995963
12,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,or|copy|copy,-1.0,0.0,2.0,0.0,-1.0,1.0
13,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,copy|majority|or,-1.0,0.0,2.0,0.0,-1.0,1.0
14,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,and|parity|and,-1.0,0.9999999999586945,1.0,0.3333333333333333,-1.0,2.0
15,3,0.3,0.05,1,1.1832061208596674,0.9576030077924645,3.859190871347869,1.816793879140333,0.8591908713478685,-0.34702314482441265,0.0,0.0,0.0,and|parity|majority,0.0013499223533485205,0.23478635669640047,0.019932140543523325,0.039952646880648056,-0.012854065924590485,0.9576030077933804
16,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,1.1102230246251565e-16,0.0,0.0,0.0,and|and|majority,-0.26112312119378833,0.28593433061892837,0.5470574518127167,0.04765572176982142,-0.4885396118317419,1.5937516768394144
17,3,0.3,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,-2.220446049250313e-16,1.5878575029692836,1.5878575029692836,1.5878575029692836,majority|and|majority,1.4272060857680873,2.1408091286521316,0.0,0.35680152144202193,2.220446049250313e-16,2.1408091286521316
18,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,2.220446049250313e-16,0.0,0.0,0.0,and|copy|copy,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528742,-0.42766871226511505,1.5937516768394144
19,3,0.3,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,0.0,1.5878575029692834,1.5878575029692834,1.5878575029692832,parity|parity|parity,1.4272060857680873,2.1408091286521316,0.0,0.23786768096134792,0.16654559107132727,2.1408091286521316
20,3,0.3,0.05,1,0.9292475566673924,1.2115615719847388,3.859190871347869,2.0707524433326077,0.8591908713478688,0.3821901048546755,0.0,0.0,0.0,majority|copy|parity,-0.3339383779807614,0.7308741310403367,0.9292475566673923,0.15780626002787246,-0.5730814362691494,1.2115615719847388
